full_nameyears,sentence,label,sentiment_label,sentiment_score
2021 Duterte,"sa totoo lang, itong komunista college pa ako.",,,
2021 Duterte,"hanggang ngayon, ang mga — sige pa rin.",,,
2021 Duterte,so speechspeech man lang ito.,,,
2021 Duterte,kunwari lang pero ang totoo theres lot fighting going countryside.,,,
2021 Duterte,id like credit police military destroying many communist fronts.,,,
2021 Duterte,think destroyed apparatus fronts communist party philippines.,,,
2021 Duterte,"alam mo, magistorya muna tayo sa taxation.",,,
2021 Duterte,id like frank you.,,,
2021 Duterte,"everybody, everybody country, paying taxes communists.",,,
2021 Duterte,communist party earns billions pass little fighting men die ideology rotten corrupt.,,,
2021 Duterte,"pocketing money children studying europe places, think none finance journey.",,,
2021 Duterte,iyan ang masakit dito.,,,
2021 Duterte,"collect taxes, support sison netherlands, nothing badmouth government mouth war dogmas everything.",,,
2021 Duterte,hindi na sila napagod.,,,
2021 Duterte,its years making.,,,
2021 Duterte,"today, poor people dying.",,,
2021 Duterte,cadres belonging indigenous tribes country fighting losing battle communist government.,,,
2021 Duterte,"waste lives, enlist children proud it, deny it.",,,
2021 Duterte,"go mountains senator go many times, even elections, many arms think somebody — idiot philippines supplied firearms.",,,
2021 Duterte,"id like ask congress, especially senator bato, kindly dig identified person imported country pretext using security — providing security guards all, business establishments afford home.",,,
2021 Duterte,"policeman, think, still there.",,,
2021 Duterte,colonel still walang nangyari.,,,
2021 Duterte,maraming sundalong namatay dahil sa mga armas na pinasok nila dito sa pilipinas.,,,
2021 Duterte,"orders — you, see walking around, kindly shoot dead.",,,
2021 Duterte,would happy.,,,
2021 Duterte,"anyway, already charged icc together me.",,,
2021 Duterte,problem adding another one another idiot filipino caused great damage country.,,,
2021 Duterte,iyan ho ang totoo diyan.,,,
2021 Duterte,itong mga pulis let go back time.,,,
2021 Duterte,"first said fight drugs six months, thought like davao.",,,
2021 Duterte,"either coerce, intimidate bribe them, give money, said, lumabas kayo ng davao.",,,
2021 Duterte,"doon kayo magkalat sa luzon sa ibang lugar, huwag dito sa davao.",,,
2021 Duterte,naniniwala naman ang mga ulol able attain sense normalcy city.,,,
2021 Duterte,iyon ho ang totoo.,,,
2021 Duterte,"people charged corruption even going prison maybe telling truth itong assets liabilities, nakukulong.",,,
2021 Duterte,"eh p itong mga pulis thing, drugs, manufacturers distributor drugs.",,,
2021 Duterte,"became president, asked dela rosa — chief police city — promoted direct pnp chief.",,,
2021 Duterte,four star na kaagad automatic.,,,
2021 Duterte,"told them, told others, look enemies.",,,
2021 Duterte,"look — find them, destroy apparatus, destroy manufacturers peddlers fighting drug war participated business nine generals pnp.",,,
2021 Duterte,kaya yan ang masakit sa loob ko.,,,
2021 Duterte,know fighting government.,,,
2021 Duterte,customs everyone else facilitating importation drugs.,,,
2021 Duterte,"one importation, see every night tv, police seize almost billion worth drugs everyday.",,,
2021 Duterte,"look , thousand filipinos arrested everyday police connection drug trafficking.",,,
2021 Duterte,go crazy looking situation.,,,
2021 Duterte,still around.,,,
2021 Duterte,laboratories nawala na sila itong naiwan ngayon importation.,,,
2021 Duterte,citizens another country cooked shabu — — tugboat something threw product — contained plastic bags gps attached contraband importers could find easily.,,,
2021 Duterte,fighting almost losing battle drugs.,,,
2021 Duterte,"gangsters mexico triad laos area, busy cooking filipinos — nothing mind except destroy nation — distributes them.",,,
2021 Duterte,said.,,,
2021 Duterte,ive asked question several times gave answer.,,,
2021 Duterte,filipino love country.,,,
2021 Duterte,want country disarray drugs.,,,
2021 Duterte,want families break become dysfunctional.,,,
2021 Duterte,iyon ang masakit sa akin.,,,
2021 Duterte,"— want destroy family, look way member resident family home, bigyan mo ng droga.",,,
2021 Duterte,"pag nandiyan na yung droga hooked, end.",,,
2021 Duterte,"sometimes families separated drugs, becomes dysfunctional, yung mga asawa magpunta doon sa abroad, ika nga, look jobs.",,,
2021 Duterte,"know, middle east — attributing particular country — tribes middle east employing filipina citizens uniform.",,,
2021 Duterte,everybody comes home ask many hours sleep said its three four hours food hogwash.,,,
2021 Duterte,"sacrifice send money families back home thinking time money spent usefully, realize comes home family already dispersed nowhere.",,,
2021 Duterte,"bakit yan itong mga durugista sa baba, itong peddlers, itong basurero tawag — its street lingo — look families na may mga nanay, tatay nagtrabaho — ang tatay nanay nagtatrabaho sa abroad.",,,
2021 Duterte,"think na iniiwan nila ang mga anak nila kung saansaan na lang, neighbors tender age three four, five, breaks heart.",,,
2021 Duterte,iiwan lang nila sa kapitbahay kung walang mga relatives.,,,
2021 Duterte,"come back five years, four years after, realized young sons daughters gone prostitution drugs boys fem — male nowhere found drug business also.",,,
2021 Duterte,iyon ang pinakamasakit.,,,
2021 Duterte,"masakit sa akin na ang pilipina pumunta doon para magtrabaho sexual abuse tribes middle east notion slave paid person working them, sexual abuse becomes part territory.",,,
2021 Duterte,kaya diyan ako pumuputok nakikita ko yung mga pamilya na sira.,,,
2021 Duterte,"think labored without sleep, eating, said, garbage, allowed go church pray prohibited them.",,,
2021 Duterte,"money get, look way around.",,,
2021 Duterte,"still — know, bothered every night they happen next succeeding group of speech talk slavery.",,,
2021 Duterte,"pero yan magprangka ako uli, would never deny icc record destroy country, kill you.",,,
2021 Duterte,"destroy young people country, kill you.",,,
2021 Duterte,talagang yayariin kita love country.,,,
2021 Duterte,legal way would take months years.,,,
2021 Duterte,"know statistics, learned night, plenty middle class released prison despite fact charged trafficking, nonbailable out.",,,
2021 Duterte,babae pati lalaki ang kaso.,,,
2021 Duterte,"said toyed idea — said, still space — due respect senate president, good man, become good vice president.",,,
2021 Duterte,holy.,,,
2021 Duterte,"ngayon hindi na siya nahuhuli, noon hulinghuli siya.",,,
2021 Duterte,"due respect senator sotto, also running vice presidency, capable man, good man filipino.",,,
2021 Duterte,"sige ako tingin sa harap, nandito pala sa likod ko.",,,
2021 Duterte,"know old — politics, mayor years five years congressman, dito, worked four years working vice mayor daughter sara presidency.",,,
2021 Duterte,"politics almost — plus four, plus four — almost .",,,
2021 Duterte,kaya kung — hindi ko na malaman ang seat arrangement dito.,,,
2021 Duterte,hindi ko alam nandoon pa ang mga senate president pati butit na lang hindi ko sinali si velasco.,,,
2021 Duterte,baka hindi na ako makabalik doon maya.,,,
2021 Duterte,"di bale, diretso na ako uwi.",,,
2021 Duterte,said many times bloodshed caused separatist movement mindanao correcting historical injustices suffered moro people since period colonization.,,,
2021 Duterte,"help congress, able pass organic law bangsamoro autonomous region muslim mindanao, finally fulfilling promise decades making.",,,
2021 Duterte,victory marawi also testament filipinos patriotism far stronger extremist group.,,,
2021 Duterte,"said before, many times, room lawlessness country.",,,
2021 Duterte,"rebuilding better marawi remains today, still completed.",,,
2021 Duterte,"task force bangon marawi, need race time.",,,
2021 Duterte,finish necessary work rehabilitate wartorn city bring back families back home.,,,
2021 Duterte,let talk drugs.,,,
2021 Duterte,ahead talking something else.,,,
2021 Duterte,nagsegue ako.,,,
2021 Duterte,"made great strides ending rebellion insurgency various parts country, still long way fight proliferation drugs.",,,
2021 Duterte,problem hounded country several decades — destroying families degrading moral fiber society.,,,
2021 Duterte,"assumed office, committed end problem soonest possible time.",,,
2021 Duterte,launched unprecedented war illegal drugs destroy apparatus permeated every level sector society.,,,
2021 Duterte,"waged war manufacturers, financiers, suppliers, peddlers, entire syndicates and, importantly, protectors government.",,,
2021 Duterte,"rescued reformed drug dependents idiotic sense decency interventions building facilities rehabilitation, also prepare reintegrate society.",,,
2021 Duterte,"unyielding campaign led surrender millions drug dependents neutralization, capture prosecution thousands drug personalities dismantling illegal drugs syndicates drug laboratories extensive drug communities barangaylevel, cutting narco politics.",,,
2021 Duterte,"know, allow little bit time.",,,
2021 Duterte,"wala naman siguro kayong lakad ngayon, unless na want — unless appointment with im sure hindi babae yan.",,,
2021 Duterte,would sexist statement.,,,
2021 Duterte,"kung nagmamadali talaga, halos tumatakbo, babae yan.",,,
2021 Duterte,"kung naglalakad lang nang natural, medyo less important yan.",,,
2021 Duterte,"ganoon yan pero dito, wala.",,,
2021 Duterte,making sexist — im saying — im saying truth.,,,
2021 Duterte,truth its see.,,,
2021 Duterte,let talk quest infrastructure development.,,,
2021 Duterte,"five years ago, first thing made sure increase infrastructure spending average five percent countrys gdp.",,,
2021 Duterte,significantly higher infrastructure spending past four administrations.,,,
2021 Duterte,thanks comprehensive tax reform program enabled us fund critical infrastructure projects.,,,
2021 Duterte,"today, see tangible results around.",,,
2021 Duterte,", frequent breakdowns unloading passengers midrail, horror daily commuters endure past.",,,
2021 Duterte,"now, longer unloads passengers destinations.",,,
2021 Duterte,waiting time trains significantly reduced.,,,
2021 Duterte,"trains running kilometers per hour before, runs trains kilometers per hour.",,,
2021 Duterte,taken away misery public commuting.,,,
2021 Duterte,also pursued completion east extension project.,,,
2021 Duterte,"extending line adding two stations, reduced travel time manila antipolo usual two three hours minutes.",,,
2021 Duterte,"thanks partnership private sector, able open stage metro manila skyway january year.",,,
2021 Duterte,decongested edsa major roads metro manila.,,,
2021 Duterte,"independence day last month, also inaugurated kalayaan bridge, part bgcortigas center link project, reduce usual one hour travel time two business districts minutes.",,,
2021 Duterte,"beyond metro manila, pursuing several highimpact projects completed within term perhaps following years.",,,
2021 Duterte,its question money.,,,
2021 Duterte,"july, inspected newlybuilt passenger terminal building clark international airport.",,,
2021 Duterte,new modern passenger terminal equipped latest stateoftheart technology.,,,
2021 Duterte,"accommodate million passengers, alleviate air traffic congestion naia airport, well serve major growth driver gateway northern central luzon.",,,
2021 Duterte,"madali man ang magpakpak, ang basa ang mahirap.",,,
2021 Duterte,"help promote equitable development, also completed several roads leading important trade corridors.",,,
2021 Duterte,"last year, completed construction poro point freeport zone road la union, improved — nakita na ninyo yan wala, sige lang pakpak.",,,
2021 Duterte,"even picture talking about, im sure — improve access prime spots investments tourism poro point area.",,,
2021 Duterte,"also completed junction lanaopagadianzamboanga city road, provide easier access farms easily transport agricultural products low cost great quantities industries economic zones located diplahan, zamboanga sibugay.",,,
2021 Duterte,"sorsogon city bicol, inuna namin yan kasi mahal ko ang mga bicolano.",,,
2021 Duterte,"pangatawanan ninyo yang pakpak ninyo ha, baka sorsogon city coastal bypass road targeted completion end davao city coastal road completed .",,,
2021 Duterte,"bakit davao last kasi sinabi ko sa kanila, unahin ninyo yung buong pilipinas.",,,
2021 Duterte,"initial years presidency, told economic managers dpwh, pati si art tugade sa transportation, unahin ninyo ang luzon ibang areas sa mindanao.",,,
2021 Duterte,look political entrails city provinces.,,,
2021 Duterte,sinadya ko talaga na ipanghuli ang davao.,,,
2021 Duterte,"kaya ang — davaoeños, must understand cannot really unahin natin iyong — kasi taga diyan ako eh.",,,
2021 Duterte,"kung hindi ako sigurado tagadavao, tapos na yan pareho ng iba.",,,
2021 Duterte,"kaya lang sinabi ko, make davao last priority.",,,
2021 Duterte,totoo yan.,,,
2021 Duterte,"sorsogon — little politics, thats territory vice president leni robredo.",,,
2021 Duterte,"here, maam ah, zoom.",,,
2021 Duterte,"mayroon ho kayong sorsogon iba pa. inaugurated new highways, roads skyways.",,,
2021 Duterte,bought new trains.,,,
2021 Duterte,testament greatly eased grueling experience traveling commuting.,,,
2021 Duterte,"sustain momentum infrastructure development, directed dpwh, dotr, neda, department finance dbm full speed ensure flagship projects completed within term, especially would help disperse economic activity outside densely populated metro manila.",,,
2021 Duterte,thus earnestly call upon lgu private sector partners help us full speed towards realization flagship others.,,,
2021 Duterte,let talk — let dwell governance.,,,
2021 Duterte,"improved connectivity, worked towards greater convenience travelers.",,,
2021 Duterte,extended validity philippine passports years lessen burden travelers ofws.,,,
2021 Duterte,also gone beyond merely addressing three million backlog drivers licenses .,,,
2021 Duterte,"also extended new cards validity drivers license five years, addedly, shall begin issuance drivers licenses within years — would good years traffic violation.",,,
2021 Duterte,"punta ka doon sa lto, maybe good sight.",,,
2021 Duterte,"mayroong ano yan eh, think theres examination somewhere test ability drive safely.",,,
2021 Duterte,"go back years after, think good — still good sight reflexes still good.",,,
2021 Duterte,"ten years, maraming banggaan yan, sigurado ako.",,,
2021 Duterte,"know, years, five, stricter measure issue years validity drivers license imposing stringent requirements test essential functions eyesight, hearing.",,,
2021 Duterte,iyong iba hindi na nakakarinig ng silbato eh.,,,
2021 Duterte,"to know, years long.",,,
2021 Duterte,"like it, its good.",,,
2021 Duterte,"have, said, five years, go medical makeover.",,,
2021 Duterte,"tingnan lang kung kaya pa mag extend validity licenses passports, also sought make long lines thing past streamlining government processes.",,,
2021 Duterte,"efforts embodied ease business act, congress passed .",,,
