full_nameyears,sentence,label,sentiment_label,sentiment_score
2016 Duterte,"well course, also greet executive secretary salvador medialdea, members cabinet, fellow workers government, countrymen.",,,
2016 Duterte,cannot move forward allow past pull us back.,,,
2016 Duterte,fingerpointing way.,,,
2016 Duterte,waste precious time dwelling sins past blaming perceived responsible mess suffering from.,,,
2016 Duterte,"except maybe extract lesson two errors, tarry present concerned future prepared for.",,,
2016 Duterte,"lest misunderstood, let say clearly, betrayed peoples trust shall go unpunished day court.",,,
2016 Duterte,"evidence warrants, day reckoning too.",,,
2016 Duterte,"decided seek presidency republic, knew ills country knew causes briefed caused causes.",,,
2016 Duterte,heard people streets complain justice become illusory equity fairness speedy disposition cases deteriorated hollow concepts fit masteral dissertations.,,,
2016 Duterte,"was, still is, sad indeed.",,,
2016 Duterte,"former prosecutor, know ways knowing fast slow cases go.",,,
2016 Duterte,look number postponements time difference postponement next setting.,,,
2016 Duterte,simple that.,,,
2016 Duterte,appreciate deeply government attend urgent need.,,,
2016 Duterte,"determined determined better positioned, wage war make mockery laws including make life us miserable.",,,
2016 Duterte,wish assure everyone though vindictiveness system.,,,
2016 Duterte,"like i, equal treatment equal protection ask people.",,,
2016 Duterte,"must courage fight believe in, undeterred fear failing losing.",,,
2016 Duterte,"indeed, courage knows limits, cowardice does.",,,
2016 Duterte,"point, concerns wish convey end perorate facts, figures, plans, programs, solutions, concerns dissipate get lost along way.",,,
2016 Duterte,"thus religious, bishops, leaders, priests, pastors, preachers, imams let assure stickler principle separation church state, believe quite strongly never separation god state.",,,
2016 Duterte,"inauguration last june , , said fight criminality illegal drugs corruption relentless sustained.",,,
2016 Duterte,"reiterate commitment today, call philippine national police, barangay chairmen, mayors, governors occupying seats power authority, lower guard.",,,
2016 Duterte,letup campaign.,,,
2016 Duterte,double efforts.,,,
2016 Duterte,"triple them, need be.",,,
2016 Duterte,"stop last drug lord, last financier, last pusher surrendered put behind bars ground, wish.",,,
2016 Duterte,"police officers officials, job unwavering support office president.",,,
2016 Duterte,way.,,,
2016 Duterte,"abuse authority, hell pay, become worse criminality itself.",,,
2016 Duterte,order national police commission napolcom hasten conduct investigation adjudication administrative cases police officers involved criminal activities illegal activities prescribe policies lifestyle checks pnp members.,,,
2016 Duterte,"quest, put stake honor, life, presidency itself.",,,
2016 Duterte,dilg also directed strictly monitor lgus perform supervision functions police found performing sanctioned including loss police deputation napolcom.,,,
2016 Duterte,let repeat warning all.,,,
2016 Duterte,"repeat repeat, repeat all, drugs solution drug crisis engulfed, malawak nation.",,,
2016 Duterte,create interagency committee illegal drugs integrate efforts strengthen partnership stakeholders.,,,
2016 Duterte,reservists mobilized information campaign drug use dissemination information regarding drug rehabilitation programs offered government.,,,
2016 Duterte,let us also strengthen rotc program instill love country good citizenship.,,,
2016 Duterte,also prioritize rehabilitation drug users.,,,
2016 Duterte,increase number residential treatment rehabilitation facilities regions country.,,,
2016 Duterte,armed forces philippines afp facilitate preparations use military camps facilities drug rehabilitation.,,,
2016 Duterte,"never real, tangible felt development without making people feel secure.",,,
