full_nameyears,sentence,label,sentiment_label,sentiment_score
2019 Duterte,landslide victory administration candidates well latest survey results shows disapproval rating .,,,
2019 Duterte,hope members congress — sana hindi kayo included sa — inspires determination pursue relentlessly started start administration.,,,
2019 Duterte,"men imbued courage believes right whatever opposition terms numbers noise, makes majority.",,,
2019 Duterte,eagle fight fight eagle matters.,,,
2019 Duterte,"believe me, end term fighting.",,,
2019 Duterte,"three years since took oath office, pains say learned lesson.",,,
2019 Duterte,illegal drug problem persists.,,,
2019 Duterte,corruption continues emasculates courage need sustain moral recovery initiatives.,,,
2019 Duterte,"years ago, saw terrible devastation caused illegal drugs.",,,
2019 Duterte,"may , , law enforcers launched operation serve warrant neutralize terrorists.",,,
2019 Duterte,group armed men sophisticated weaponry aided locals radicalized extremist dogma teachings fought troops weeks.,,,
2019 Duterte,"marawi siege, tons shabu worth millions millions pesos.",,,
2019 Duterte,drug money killed wounded soldiers policemen fivemonth battle.,,,
2019 Duterte,aware still long way go fight social menace.,,,
2019 Duterte,let reason advocate imposition death penalty crimes related illegal drugs.,,,
2019 Duterte,"citizens begun part war drugs, barangay formation antidrug councils, also actually surrendering bricks cocaine found floating sea islands.",,,
2019 Duterte,call responsibility.,,,
2019 Duterte,"however, drugs crushed unless continue eliminate corruption allows social monster survive.",,,
2019 Duterte,"respectfully request congress reinstate death penalty heinous crimes related drugs, well plunder.",,,
2019 Duterte,"countrymen, sad commentary cannot distinguish need greed, principles prejudices, real fake, truth lie.",,,
2019 Duterte,"reason many us, matters self.",,,
2019 Duterte,selfishness worst purpose personal aggrandizement.,,,
2019 Duterte,"borrow language f. sionil jose, risen beyond parochial interests.",,,
2019 Duterte,"warped loyalty family, friends tribal kin continue exact heavy toll programs designed uplift poor reassure investors, foreign investors local, business sector country.",,,
2019 Duterte,recent uncovering massive fraud perpetrated public health insurance system proves corruption pervasive.,,,
2019 Duterte,huge amounts medical funds released cover padded medical claims imaginary treatment ghost patients.,,,
2019 Duterte,grossly disappointed.,,,
2019 Duterte,government conned millions pesos could used treat illnesses possibly save lives many.,,,
2019 Duterte,thus ordered nbi arrest cause prosecution liable.,,,
