full_nameyears,sentence,label,sentiment_label,sentiment_score
2018 Duterte,"two years later, solid commitment directly decisively address nations collective challenges remains.",,,
2018 Duterte,wavered.,,,
2018 Duterte,"truth, even gotten stronger adversity desire give people can, within term government.",,,
2018 Duterte,let begin putting bluntly war illegal drugs far over.,,,
2018 Duterte,"before, war resulted seizure illegal drugs worth millions pesos, today, run billions peso value.",,,
2018 Duterte,"shudder harm drugs could caused reached streets every province, city, municipality, barangay community throughout country.",,,
2018 Duterte,illegal drugs war sidelined.,,,
2018 Duterte,"instead, relentless chilling, will, day began.",,,
2018 Duterte,drug dealers know fully well business law.,,,
2018 Duterte,"know consequences criminal acts, especially caught flagrante delicto violently resist arrest.",,,
2018 Duterte,"know illegal drugs waste away lives, dysfunctionalize families, ruin relationships.",,,
2018 Duterte,"know hooked, addicts die slowly — slow deaths.",,,
2018 Duterte,"yet, persist do, oblivious terrible harm cause people communities.",,,
2018 Duterte,"illegal drug operations turn nasty bloody, advocates human rights lash at—and pillory—our law enforcers administration end.",,,
2018 Duterte,"sadly, yet hear really howls protest human rights advocates church leaders druglordism, drug dealing drug pushing forceful vociferous ones directed alleged errant enforcers fight social scourge.",,,
2018 Duterte,"think dissuaded continuing fight demonstrations, protests, find, way, misdirected, got wrong.",,,
2018 Duterte,"concern human rights, mine human lives.",,,
2018 Duterte,"lives youth wasted families destroyed, chemicals called shabu, cocaine, cannabis, heroine.",,,
2018 Duterte,"human rights means giving filipinos, especially societys fringes, decent dignified future social physical infrastructures necessary better lives.",,,
2018 Duterte,"lives freedoms hardearned property every filipino whose condition wish improve shall protected criminals, terrorists, corrupt officials, traffickers contrabands.",,,
2018 Duterte,worry present concerned present future.,,,
2018 Duterte,worry future know crimes youth country.,,,
2018 Duterte,"stopped, crimes make human cesspools succeeding generations.",,,
2018 Duterte,allow happen.,,,
2018 Duterte,term.,,,
2018 Duterte,"time again, stressed corruption must stop.",,,
2018 Duterte,corruption like leech bleeds government funds programmed infrastructure social development projects.,,,
2018 Duterte,saps morale morale dedicated honest government workers.,,,
2018 Duterte,corruption destroys succumb temptation eventually innocent suffer bear horrible consequences.,,,
2018 Duterte,love money corrosive.,,,
2018 Duterte,"sadly, desire make easy kind imaginative manipulative, corrupts absolutely.",,,
2018 Duterte,stolen wealth make thief respectable.,,,
2018 Duterte,neither trappings wealth mask cap stink thievery exudes.,,,
2018 Duterte,"one day, justice catch steal government funds.",,,
2018 Duterte,"day comes, public retribution.",,,
2018 Duterte,"run steal peoples money, also enhancing governments delivery frontline services.",,,
2018 Duterte,"thank congress swift passage ease business , significant fight corruption improving service delivery.",,,
2018 Duterte,need sustain momentum.,,,
2018 Duterte,hereby direct government units — makinig sana kayo — government agencies faithfully implement law simply simplify process.,,,
2018 Duterte,hinihingi ko ho yan sa lahat nasa gobyerno control supervision.,,,
2018 Duterte,huwag ho kayong magkamali.,,,
2018 Duterte,"particularly call attention agencies number red taperelated reports public, make services truly customerfriendly.",,,
2018 Duterte,"people deserve efficient, effective, responsive government services.",,,
2018 Duterte,deserve nothing less.,,,
2018 Duterte,kayo lang ang ayaw eh.,,,
2018 Duterte,"gusto ng tao kayo yung binabayaran, make living pockets people, lousy corrupt bureaucracy.",,,
2018 Duterte,friends political supporters appointed public office dismissed caused resign.,,,
2018 Duterte,need mention names recount circumstances surrounding removal resignation.,,,
2018 Duterte,media amply reported that.,,,
2018 Duterte,"value friendship, make mistake it.",,,
2018 Duterte,limits.,,,
2018 Duterte,lonely place hemmed in.,,,
2018 Duterte,make lonelier forcing end friendship gave reason end it.,,,
2018 Duterte,pains end — loss friendships.,,,
2018 Duterte,appeal help cause friendship endure.,,,
2018 Duterte,"long remember, bulk income generated mindanao used remitted we, mindanao, refer imperial manila fund national projects primarily metro manila area, leaving pittance mindanao share thereof.",,,
2018 Duterte,"mindanao dubbed the land promise, mindanaoans say derision got government years promises, promises promises.",,,
2018 Duterte,"aim rectify derisive observation and, matter fact, process fulfilling promise significant increases budget mindanao.",,,
2018 Duterte,"end term, hope see promise mindanao fulfilled, least, approaching fulfillment.",,,
2018 Duterte,"may, mindanao pauses crossroads history.",,,
2018 Duterte,"one road leads harmony peace other, war human suffering.",,,
2018 Duterte,"despite said bangsamoro organic law sectoral groups, make solemn commitment administration never deny muslim brothers sisters basic legal tools chart destiny within constitutional framework country.",,,
2018 Duterte,approved version transmitted received office law passed actually intend to give hours sign ratify law.,,,
2018 Duterte,babasahin ko pa bago ko pipirmahan.,,,
2018 Duterte,baka may isiningit kayo diyan na hindi maganda para sa — para sa ibang tao.,,,
2018 Duterte,need loads understanding patience endure overcome birth pangs pains new beginning.,,,
