full_nameyears,sentence,label,sentiment_label,sentiment_score
2020 Duterte,live troubled time.,,,
2020 Duterte,dream prosperity country suddenly snuffed pandemic virulent virus.,,,
2020 Duterte,nation spared.,,,
2020 Duterte,neither rich poor exempt onslaught deadly disease.,,,
2020 Duterte,let us despair.,,,
2020 Duterte,vaccine around corner.,,,
2020 Duterte,"sooner later, virus gobbled thousands lives laid rest.",,,
2020 Duterte,"meantime, let us express nations gratitude courageously willingly put lives line serve people country.",,,
2020 Duterte,share griefs families amount tears compensate great losses.,,,
2020 Duterte,"countrymen, sad government focuses attention resources battle coronavirus, take advantage preoccupied government.",,,
2020 Duterte,one senator frank drilon.,,,
2020 Duterte,"interview, arrogantly mentioned among others oligarchs need rich.",,,
2020 Duterte,linked antidynasty system oligarchy topic daughter son.,,,
2020 Duterte,happened committee franchise voted deny grant franchise abscbn.,,,
2020 Duterte,"obviously, defending lopezes oligarchs.",,,
2020 Duterte,great wealth enables economic elites corporations influence public policy advantage.,,,
2020 Duterte,media powerful tool hands oligarchs like lopezes used media outlets battles political figures.,,,
2020 Duterte,casualty lopezes election.,,,
2020 Duterte,"dealers purveyors illegal drugs, hiding shadow covid , stepped activities.",,,
2020 Duterte,amount shabu valued millions pesos seized police operations speak volumes enormity weight problem bear.,,,
2020 Duterte,"corrupt, grafters influence peddlers also take advantage fear confusion coronavirus generates.",,,
2020 Duterte,"financial material assistance government unemployed, sick destitute running billions pesos, spared corruption ineptitude.",,,
2020 Duterte,even donations wellmeaning private persons skimmed reaching intended beneficiaries.,,,
2020 Duterte,like snatching food mouths babes.,,,
2020 Duterte,"profiteers, overpricers corrupt felons must laughing stash dirty monies.",,,
2020 Duterte,long.,,,
2020 Duterte,cannot outrun long arm law.,,,
2020 Duterte,"regard, words former president ramon magsaysay ring fresh relevant today day said decades ago.",,,
2020 Duterte,"said ―we need men integrity faith like rizal del pilar, men action like bonifacio, men inflexible patriotism like mabini.",,,
2020 Duterte,"need zeal, selfreliance, capacity work, devotion service, ability lose common cause building nation.‖ allow greed, selfinterest ambition rule us, stated one prominent physician, ―be left nothing better lesser evil instead greater good.‖ inaugural address four years ago, said leader succeed anything national importance significance unless cooperation support people tasked lead sworn serve.",,,
