full_nameyears,sentence,label,sentiment_label,sentiment_score
2012 Aquino,"today, efficient targeting, deployed needed areas long left margins society.",,,
2012 Aquino,"sent health professionals , localities covered pantawid pamilya, poorest cities municipalities, identified national antipoverty commission.",,,
2012 Aquino,"new system addresses two issues thousands nurses midwives jobs opportunity gain valuable work experience time, millions countrymen increased access quality health care.",,,
2012 Aquino,satisfied this.,,,
2012 Aquino,"want true, universal, holistic health care.",,,
2012 Aquino,"begins hospitals, within every household increased consciousness, routine inoculation, regular checkups necessary keep sickness bay.",,,
2012 Aquino,add efforts ensure prevent illnesses power prevent.,,,
2012 Aquino,"example last year, told antidengue mosquito traps.",,,
2012 Aquino,"early claim total victory, scientists rigorous testing, initial results encouraging.",,,
2012 Aquino,tested efficacy mosquito traps areas highest reported incidence dengue.,,,
2012 Aquino,", traps distributed bukidnon—which recorded , cases dengue .",,,
2012 Aquino,"distribution, number cases decreased —that percent reduction rate.",,,
2012 Aquino,"towns ballesteros claveria cagayan, cases dengue , mere eight cases recorded.",,,
2012 Aquino,"catarman, northern samar cases dengue reported .",,,
2012 Aquino,mere four cases .,,,
2012 Aquino,project initial stages.,,,
2012 Aquino,"even early on, must thank secretaries ike ona doh mario montejo dost may gratitude applause spur even intensive research collaboration.",,,
2012 Aquino,challenges remain.,,,
2012 Aquino,high maternal mortality ratio country continues alarm us.,,,
2012 Aquino,undertaken measures address healthcare needs women.,,,
2012 Aquino,"we, too, want universal health care want medical institutions enough equipment, facilities, manpower.",,,
2012 Aquino,"easily fulfill goals, sin tax bill—which rationalizes taxes alcohol tobacco products—can passed.",,,
2012 Aquino,bill makes vice expensive time raising money health.,,,
2012 Aquino,"students—what welcomes schools still first learn alphabet beneath shade tree still squatting floor, tussling classmates single textbook great faith secretary luistro next year ends, built , classrooms needed fill shortage inherited—of this, expect , year.",,,
2012 Aquino,",, backlog chairs bequeathed addressed ends.",,,
2012 Aquino,"year, too, see eradication backlog .",,,
2012 Aquino,million textbooks—and finally achieve onetoone ratio books students.,,,
2012 Aquino,"ending backlogs education sector, potential shortages remains student population continues increase.",,,
2012 Aquino,perhaps responsible parenthood help address this.,,,
2012 Aquino,state universities colleges proposed .,,,
2012 Aquino,percent increase budget next year.,,,
2012 Aquino,"reminder, though, everything accordance plan corresponding conditions budget increase.",,,
2012 Aquino,"suc reform roadmap ched, deliberated agreed upon, must enacted ensure students sponsored state top caliber.",,,
2012 Aquino,"expect work get high marks assignment, striving hard address rest needs.",,,
2012 Aquino,"year year, budget education increased.",,,
2012 Aquino,budget inherited deped last billion pesos.,,,
2012 Aquino,proposal .,,,
2012 Aquino,billion pesos.,,,
2012 Aquino,", sucs allocated budget .",,,
2012 Aquino,billion pesos.,,,
2012 Aquino,"since then, annually raised allocation next year, proposed set aside .",,,
2012 Aquino,billion pesos budget sucs.,,,
2012 Aquino,"despite this, militant groups still cutting classes protest claim cut suc budgets.",,,
2012 Aquino,its simple .,,,
2012 Aquino,"higher , .",,,
2012 Aquino,"higher .. anyone claim cut education budget, well urge schools hold remedial math classes.",,,
2012 Aquino,"please, attend classes.",,,
2012 Aquino,"assumed office began establishing muchneeded reforms, belittled governments performance.",,,
2012 Aquino,"claimed achievements mere luck, impact may shortlived.",,,
2012 Aquino,"still refuse cease spreading negativity keep mouths pursed good news, created industry criticism.",,,
2012 Aquino,"problem fact that, year ends, every child chairs set books, look straight eye tell them, i want go school.",,,
2012 Aquino,take issue fact .,,,
2012 Aquino,"million countrys poorest households avail quality healthcare services without worrying cost, look straight eye tell them, i want get better.",,,
2012 Aquino,"angers three million filipino families empowered fulfill dreams pantawid pamilya, look straight eye tell them, i take away hope future.",,,
2012 Aquino,era policy based whims powerful truly come end.,,,
2012 Aquino,"example, previous leadership tesda generously distributed scholarship vouchers—but neglected fund them.",,,
2012 Aquino,"naturally, vouchers bounced.",,,
2012 Aquino,result thousand schools charging government .,,,
2012 Aquino,billion pesos vouchers.,,,
2012 Aquino,one person one administration wanted show filipino people paying now.,,,
2012 Aquino,"secretary joel villanueva assumed post, daunted seemingly impossible reforms agency needed enact.",,,
2012 Aquino,"despite staggering debt inherited tesda, still trained , individuals training work scholarship program.",,,
2012 Aquino,"tesda specialists technopreneurship program likewise delivered concrete victories—imagine , certified specialistas earning pesos day, , pesos month.",,,
2012 Aquino,higher minimum wage.,,,
2012 Aquino,"infancy, adolescence, adulthood, system working citizens.",,,
2012 Aquino,ensuring economys newfound vitality generates jobs.,,,
2012 Aquino,let us keep mind million new entrants job market every year.,,,
2012 Aquino,jobs produced within past two years total almost .,,,
2012 Aquino,million.,,,
2012 Aquino,"result, unemployment rate declining steadily.",,,
2012 Aquino,", unemployment rate percent.",,,
2012 Aquino,"april , dropped ., dropped .",,,
2012 Aquino,year.,,,
2012 Aquino,apt time us dream day filipino wishes work find job look bpo sector.,,,
2012 Aquino,"back year , , people employed industry.",,,
2012 Aquino,"fast forward , people employed bpos, industry contributed billion dollars economy.",,,
2012 Aquino,"projected come , year bid farewell, bringing billion dollars employing .",,,
2012 Aquino,million filipinos.,,,
2012 Aquino,include estimated .,,,
2012 Aquino,"million taxi drivers, baristas, corner stores, canteens, many others benefit indirect jobs bpo industry create.",,,
2012 Aquino,large portion jobgeneration strategy building sufficient infrastructure.,,,
2012 Aquino,"gone boracay vacation, probably seen newly christened terminal caticlan.",,,
2012 Aquino,plan expand runway also laid out.,,,
2012 Aquino,stop there.,,,
2012 Aquino,"end term, new bohol airport panglao, new legaspi airport daraga, laguindingan airport misamis oriental built.",,,
2012 Aquino,"also upgrade international airports mactan, cebu tacloban puerto princesa airport, receive passengers addition remodeling airports butuan, cotabato, dipolog, pagadian, tawitawi, southern leyte, san vicente palawan.",,,
2012 Aquino,fourth president deal problems naia terminal .,,,
2012 Aquino,airplanes take land problems anomalies.,,,
2012 Aquino,"secretary mar roxas already said convene next sona, structural defects inherited naia fully repaired.",,,
2012 Aquino,"june, lrt line cavite extension project began move forward.",,,
2012 Aquino,"completed, alleviate traffic las piñas, parañaque, cavite.",,,
2012 Aquino,"addition this, order improve traffic metro manila, two elevated roads directly connecting north luzon south luzon expressways.",,,
2012 Aquino,completed reduce travel time clark calamba hour minutes.,,,
2012 Aquino,"leave office, highquality terminals taguig, quezon city, parañaque, provincial buses longer add traffic edsa.",,,
2012 Aquino,perceptions also changed department formerly notorious inadequacies.,,,
2012 Aquino,"still remember days when, rainy season, tarlac river would overflow submerge macarthur highway.",,,
2012 Aquino,"asphalt would melt away road would riddled potholes, ended impassable.",,,
2012 Aquino,"representative district, registered complaints this.",,,
2012 Aquino,"department public works highways reply know problem, know solve it, money.",,,
2012 Aquino,"appeal barangays if dont prioritize spend ourselves, one fix it, ones suffer.",,,
2012 Aquino,"back days, everyone called upon government wake start working.",,,
2012 Aquino,"complaints today different traffic terrible, thats theres much roadwork done.",,,
2012 Aquino,may remind everyone done without raising taxes.,,,
2012 Aquino,build road network based kickbacks favoritism.,,,
2012 Aquino,build according clear system.,,,
2012 Aquino,"resources projects longer allocated haphazardly, plans longer end unfulfilled—they become tangible roads benefit filipino people.",,,
2012 Aquino,"assumed office, , kilometers national roads yet fixed.",,,
2012 Aquino,"right now, , kilometers fixed leadership secretary babes singson.",,,
2012 Aquino,", additional , kilometers finished.",,,
2012 Aquino,even identifying fixing dangerous roads use modern technology.,,,
2012 Aquino,"challenges continue address every year, that, end term, every inch national road network fixed.",,,
2012 Aquino,fixed roads dpwh fixed system.,,,
2012 Aquino,"following right process bidding procurement, agency saved total .",,,
2012 Aquino,billion pesos june year.,,,
2012 Aquino,even contractors feeling positive effects reforms dpwh.,,,
2012 Aquino,"according dpwh, the top contractors fully booked.",,,
2012 Aquino,hopeful development infrastructure continues unimpeded facilitate growth industries.,,,
2012 Aquino,improvement infrastructure intertwined growth tourism industry.,,,
2012 Aquino,"consider , philippines recorded .",,,
2012 Aquino,million tourist arrivals.,,,
2012 Aquino,"assumed office , figure grown around .",,,
2012 Aquino,million.,,,
2012 Aquino,"take note despite length time office, previous administration managed add mere .",,,
2012 Aquino,million tourist arrivals—and contributed half year number.,,,
2012 Aquino,"administration, welcomed .",,,
2012 Aquino,million tourist arrivals june .,,,
2012 Aquino,"arrive peak season, end year, doubt meet quota .",,,
2012 Aquino,million tourist arrivals .,,,
2012 Aquino,means yearonyear increase .,,,
2012 Aquino,million tourists.,,,
2012 Aquino,"bottom line two years, would bigger growth tourist arrivals, compared increase charted previous administration nine years.",,,
2012 Aquino,singing praises merely stating truth.,,,
2012 Aquino,secretary mon jimenez still satisfied.,,,
2012 Aquino,says .,,,
2012 Aquino,"million tourists came malaysia , around million visited thailand, would farfetched ten million tourists visiting philippines annually filipino people continue embody solidarity allowed puerto princesa underground river become one new seven wonders nature, doubt able achieve this.",,,
2012 Aquino,already announced entire world its fun philippines.,,,
2012 Aquino,"secretary mon jimenez post less year, already reaping fruits reforms laid down.",,,
2012 Aquino,"so, comes tourism, confident saying, its really fun—to secretary mon jimenez us.",,,
2012 Aquino,"comes growth development, agriculture top priorities.",,,
2012 Aquino,secretary alcala working nonstop deliver us good news.,,,
2012 Aquino,"before, seemed though officials da cultivated nothing nfas debts.",,,
2012 Aquino,"nfa predecessors took peso debt left office, bequeathed us debt billion pesos.",,,
2012 Aquino,"long past, led believe short .",,,
2012 Aquino,"million metric tons rice, needed import million metric tons address shortage.",,,
2012 Aquino,"ordered rice unlimited—but exceeded far needed, imported rice went rot warehouses.",,,
2012 Aquino,"first year, reduced annual shortage .",,,
2012 Aquino,"million metric tons , metric tons.",,,
2012 Aquino,"year, ,—including buffer stock dip times calamity.",,,
2012 Aquino,"and, weather cooperates, well able export rice next year.",,,
2012 Aquino,secretary alcala said key success feasible irrigation program assiduous implementation certified seeds program.,,,
2012 Aquino,galling knowledge new—it simply wasnt applied.,,,
2012 Aquino,"done jobs right, could look coconut industry coconut water, treated waste product, utilized farmers.",,,
2012 Aquino,", liters exported , ,, liters , staggering ,, liters cocowater exported .",,,
2012 Aquino,"one previously paid heed coconut coir, experiencing shortage due high demand exporters.",,,
2012 Aquino,wasting opportunity buying machines process coco fibers.,,,
2012 Aquino,allocated .,,,
2012 Aquino,"billion pesos invest in, develop, sector.",,,
2012 Aquino,mother initiated comprehensive agrarian reform program.,,,
2012 Aquino,program sees conclusion term.,,,
2012 Aquino,"improving system, swiftly efficiently realize agrarian reform.",,,
2012 Aquino,government everything power ensure farmers claim land tilled nurtured sweat.,,,
2012 Aquino,"those, however, wish obstruct us.",,,
2012 Aquino,say obey law.,,,
2012 Aquino,"law says, nation says, say step down, land covered carp distributed.",,,
2012 Aquino,let shed light advances energy sector.,,,
2012 Aquino,"past, electrical wire needed reach barangay hall entire barangay deemed energized.",,,
2012 Aquino,pretext claim .,,,
2012 Aquino,percent countrys barangays electricity.,,,
2012 Aquino,"even delivery basic service deception challenged doe nea, allocating .",,,
2012 Aquino,"billion pesos light initial target , sitios, cost one million pesos per sitio.",,,
2012 Aquino,"agencies met challenge—they lit , sitios, total cost million pesos.",,,
2012 Aquino,"accomplished three months, instead two years took people preceded them.",,,
2012 Aquino,"secretary rene almendras, give credit never seem run energy.",,,
2012 Aquino,"public service, everready, like energizer bunny too—you keep going, going, going.",,,
2012 Aquino,"suffused nation light—and light, too, exposed crimes occur shadowed corners society.",,,
2012 Aquino,filipino works hard longer pilfered.,,,
2012 Aquino,crime volume continues decline across country.,,,
2012 Aquino,", , crimes recorded—this year, cut number half, ,.",,,
2012 Aquino,"moreover, s recorded , cases carnapping likewise reduced half—to cases .",,,
2012 Aquino,"facts that, hope, bannered headlines.",,,
2012 Aquino,"claim ended criminality, im sure one would complain reduced.",,,
2012 Aquino,"span little year, havent finally put raymond dominguez jail, years prison charges filed two brothers well, serving time, too.",,,
2012 Aquino,"two suspects makati bus bombing past year—one dead, living jail cell.",,,
2012 Aquino,shares fate ten thousand individuals arrested pdea charges relating illegal drugs.,,,
2012 Aquino,"pacquiao fight every day, cant rely bring crime rate.",,,
2012 Aquino,were strengthening police force.,,,
2012 Aquino,"administration began, percent police carried guns probably relied magic charms chased criminals.",,,
2012 Aquino,"completed bidding—and testing quality—for order , guns, provide police, may better serve protect nation, communities, themselves.",,,
2012 Aquino,let us talk national defense.,,,
2012 Aquino,described air force air force.,,,
2012 Aquino,"lacking proper equipment, troops remain vulnerable even expected put harms way.",,,
2012 Aquino,cannot allow things remain way.,,,
2012 Aquino,"one year seven months, able allocate billion pesos afp modernization program.",,,
2012 Aquino,soon match billion pesos set aside program past years.,,,
2012 Aquino,"were getting started proposed afp modernization bill passed congress, able allocate billion pesos defense within next five years.",,,
2012 Aquino,dollar fund entrusted us united states defense capability upgrade sustainment equipment program afp ready well.,,,
2012 Aquino,"addition assistance improving way patrol shores coast watch center philippines, soon established.",,,
2012 Aquino,"moment, armed forces likewise canvassing equipment cannons, personnel carriers, frigates.",,,
2012 Aquino,"long, brp ramon alcaraz, second hamilton class cutter, drop anchor, partner brp gregorio del pilar.",,,
2012 Aquino,longer send paper boats sea.,,,
2012 Aquino,"now, , kilometers coastline patrolled modern ships.",,,
2012 Aquino,"perhaps apt time armed forces clean hangars, equipment arriving soon fortify defenses.",,,
2012 Aquino,"finally, one roaming skies past years partners two operational.",,,
2012 Aquino,"year ends, hopeful twentyone refurbished helicopters, four combat utility helicopters, radios communication equipment, rifles, mortars, mobile diagnostic laboratories, even station bullet assemblies purchased delivered.",,,
2012 Aquino,"come , ten attack helicopters, two naval helicopters, two light aircraft, one frigate, air force protection equipment also arriving.",,,
2012 Aquino,better equipment demonstrate commitment help police soldiers.,,,
2012 Aquino,"eased financial burdens , houses built afp–pnp housing program.",,,
2012 Aquino,"want aggressor, want escalation.",,,
2012 Aquino,keeping peace.,,,
2012 Aquino,protecting ourselves—something long thought impossible.,,,
2012 Aquino,"life soldier risks life every day family, awaits safe return, despite challenges confront him.",,,
2012 Aquino,lets listen beneficiaries programs tell us words lives changed.,,,
2012 Aquino,we thank lord god giving us opportunity blessings.,,,
2012 Aquino,"also, good president.",,,
2012 Aquino,"projects, know wellbeing armed forces law enforcers heart.",,,
2012 Aquino,"– domingo medalla were best get by, im best get kids go school.",,,
2012 Aquino,"thats mission life give kids proper education, right world.",,,
2012 Aquino,need good parenting that.,,,
2012 Aquino,im thankful conditional cash transfer program.,,,
2012 Aquino,learned lot it.,,,
2012 Aquino,"– eva neri its great help family one of—if im mistaken, one first—beneficiaries category z package philhealth.",,,
2012 Aquino,im thankful this.,,,
2012 Aquino,"child getting sick something look forward to, happens, philhealth ease burden.",,,
2012 Aquino,– kristine tatualla i one participants oakwood mutiny.,,,
2012 Aquino,"change happening today, its weve fighting for.",,,
2012 Aquino,"days, president aquinos housing program, its possible us homes.",,,
2012 Aquino,"– pfc rolly bernal people care them, impassioned soldiers winning peace.",,,
2012 Aquino,"consider , outlaws whose violence come end great triumph.",,,
2012 Aquino,"one example infamous terrorist, doctor abu, never strike fear hearts countrymen.",,,
2012 Aquino,also celebrate peace quiet returned places countrymen deafened gunfire.,,,
2012 Aquino,"result solidarity barangays liberated enemy, buildings schools repaired, health centers built.",,,
2012 Aquino,"subject peace, let us talk place long stood symbol frustrated hopes.",,,
2012 Aquino,"reforms armm began, ghost students walking ghost schools ghost roads, learn ghost teachers.",,,
2012 Aquino,"apparitions haunted oic governor mujiv hataman four schools found ghost students also investigating teachers whose names appear list professional regulation commission, well government workers listed plantilla.",,,
2012 Aquino,fiftyfive ghost entries taken payroll.,,,
2012 Aquino,previous scheme regraveling roads earn money outlawed.,,,
2012 Aquino,"avoid abuse, ended cash advances agencies.",,,
2012 Aquino,"now, souls ghosts voters lists rest peace.",,,
2012 Aquino,"why, oic governor mujiv hataman, say indeed certified ghost buster.",,,
2012 Aquino,"replaced phantoms real housing, bridges, learning centers badjaos basilan.",,,
2012 Aquino,"communitybased hatcheries, nets, materials grow seaweeds, seedlings benefited , fishermen.",,,
2012 Aquino,"certified seeds, gabi seedlings, cassava, rubber, trees bearing fruit , farmers.",,,
2012 Aquino,beginning.,,,
2012 Aquino,million pesos set aside fire stations million pesos clean drinking water .,,,
2012 Aquino,million pesos healthcare equipment .,,,
2012 Aquino,million pesos daycare centers .,,,
2012 Aquino,billion pesos roads bridges across region.,,,
2012 Aquino,things afforded aggregate .,,,
2012 Aquino,billion pesos national government granted armm.,,,
2012 Aquino,"also, allow clarify include yearly support receive, reached .",,,
2012 Aquino,billion pesos.,,,
2012 Aquino,even previously wanted break away seeing effects reform.,,,
2012 Aquino,"past seven months, even single encounter recorded military milf.",,,
2012 Aquino,recognize sign trust.,,,
2012 Aquino,regard peace process talks open sides shown trust faith one another.,,,
2012 Aquino,"may times process get little complicated, merely signs steadily moving closer shared goal peace.",,,
2012 Aquino,likewise engaged stakeholders levelheaded discussion crafting executive order mining.,,,
2012 Aquino,"idea behind consensus reached able utilize natural resources uplift living conditions filipinos today, also following generations.",,,
2012 Aquino,reap rewards industry cost destruction nature.,,,
2012 Aquino,executive order first step.,,,
2012 Aquino,"think , billion pesos total value derived mining, .",,,
2012 Aquino,billion percent went national treasury.,,,
2012 Aquino,natural resources shouldnt happen thats left tip theyre extracted.,,,
2012 Aquino,"hoping congress work us pass law ensure environment cared for, public private sectors receive benefits industry.",,,
2012 Aquino,let us talk situation disaster risk reduction management.,,,
2012 Aquino,"once, government, supposed give aid, one asking aid.",,,
2012 Aquino,"today, even storm still brewing, already know craft clear plans avoid catastrophe.",,,
2012 Aquino,talking disasters reminds time typhoon struck tarlac.,,,
2012 Aquino,"dike collapsed due rains one barangay captains awoke, floods already taken house, well farming equipment.",,,
2012 Aquino,"fortunately, entire family survived.",,,
2012 Aquino,carabao left tied tree wasnt lucky strangled death force flood.,,,
2012 Aquino,"many affected typhoons ondoy, pepeng, sendong defenseless.",,,
2012 Aquino,lost many lives natural disasters.,,,
2012 Aquino,"now, project noah, antidisaster initiatives brought inside one boat, longer leave evacuation families mere luck.",,,
2012 Aquino,technology give fair warning filipinos order prepare avoid worst.,,,
2012 Aquino,automated rain gauges water level monitoring sensors various regions benefit us directly realtime.,,,
2012 Aquino,target end automated rain gauges water level sensors.,,,
2012 Aquino,installed primary river basins around country.,,,
2012 Aquino,"yet another change before, agencies shared responsibilities would work separately, little coordination cooperation.",,,
2012 Aquino,"now, culture government bayanihan—a coming together sake people.",,,
2012 Aquino,call convergence.,,,
2012 Aquino,"always tree planting programs government—but trees planted, left alone.",,,
2012 Aquino,communities needed livelihood would cut turn charcoal.,,,
2012 Aquino,solution this.,,,
2012 Aquino,", hectares forest planted across country fraction .",,,
2012 Aquino,millionhectare farmlands laid step down.,,,
2012 Aquino,covers communities national convergence initiative.,,,
2012 Aquino,"process tree planted, dwsd coordinate communities.",,,
2012 Aquino,"exchange conditional cash transfer, communities would take care trees would help nurture seeds nursery.",,,
2012 Aquino,", individuals earn livelihood activities.",,,
2012 Aquino,"private sector likewise taken part program hands special coffee cacao beans communities, trains townsfolk, too, nurture seeds bountiful harvest.",,,
2012 Aquino,coffee planted shade trees turn help prevent flooding protect people.,,,
2012 Aquino,company hands seeds sure buyers yield.,,,
2012 Aquino,"its winwin situation—for private sector, communities extra income, succeeding generations benefit trees.",,,
2012 Aquino,illegal logging long problem.,,,
2012 Aquino,time signed executive order no.,,,
2012 Aquino,", mayor jun amante confiscated lumber amounting six million pesos.",,,
2012 Aquino,gratitude.,,,
2012 Aquino,"butuan lgus demonstrated kind political timber confiscated denr handed tesda, gives timber communities train carpentry.",,,
2012 Aquino,"this, deped gets chairs public schools.",,,
2012 Aquino,consider product destruction crafted instrument realization better future.,,,
2012 Aquino,impossible then—impossible long government turned blind eye illegal activities.,,,
2012 Aquino,without conscience repeatedly gamble lives fellow filipinos—your days numbered.,,,
2012 Aquino,"weve already sanctioned thirtyfour denr officials, one pnp provincial director, seven chiefs police.",,,
2012 Aquino,asking regional director pnp explain seemed deaf directives blind colossal logs transported eyes.,,,
2012 Aquino,"shape up, next.",,,
2012 Aquino,"even tremble beneath skirts patrons, find you.",,,
2012 Aquino,"suggest start jobs, its late.",,,
2012 Aquino,"womb, school, work, change touched filipino.",,,
