full_nameyears,sentence,label,sentiment_label,sentiment_score
2017 Duterte,thank courtesy.,,,
2017 Duterte,"member congress, — seat there.",,,
2017 Duterte,seat lady violent – — violent rather violet dress — seated.,,,
2017 Duterte,"always absent together speaker tonyboy floirendo, still absent today.",,,
2017 Duterte,started ay nandiyan ba sorry.,,,
2017 Duterte,propensity started almost years ago members congress.,,,
2017 Duterte,"senate president aquilino pimentel iii members senate pantaleon alvarez, speaker members house representatives vice president maria leonor robredo former presidents fidel ramos, joseph estrada, former president gloria arroyo chief justice maria lourdes sereno supreme court members courts archbishop pinto distinguished guests diplomatic corps secretary salvador medialdea members cabinet fellow workers government countrymen.",,,
2017 Duterte,"took oath office year ago, knew country reeling multitude problems.",,,
2017 Duterte,"day, euphoria air resulting successful campaign thought dominated make good promise people bring — change government, change passing change survive test time.",,,
2017 Duterte,"although still know magnitude gravity problems, feeling that, equipped political braced concerned citizenry, problems would eventually bested us.",,,
2017 Duterte,matter determination collective action.,,,
2017 Duterte,question time.,,,
2017 Duterte,"saw see now, problem world stop march people unflinching tenacious determination.",,,
2017 Duterte,euphoric — euphoric been.,,,
2017 Duterte,"early on, felt change meaningful, start occupying highest positions government change comes transitory permanent.",,,
2017 Duterte,aiming permanence.,,,
2017 Duterte,let change trickle bottom.,,,
2017 Duterte,"change confined merely replacement people people, change peoples attitude, disposition work ethic.",,,
2017 Duterte,"sadly, although knew years ago needed ought do, idea government parochial could rise family, ethnic clan loyalties well loyalty friends coworkers.",,,
2017 Duterte,one wanted snitch.,,,
2017 Duterte,one saying genuine change country truly needs.,,,
2017 Duterte,"believed then, believe still, progress development sputter criminals, illegal drugs, illegal users drugs allowed roam streets freely, victimizing seeming impunity, innocent helpless.",,,
2017 Duterte,"worse yet, times past protectors people perpetrators crimes tasked prevent suppress.",,,
2017 Duterte,ironic madness.,,,
2017 Duterte,learned economy surges peace order prevailing places investors pour capital expertise.,,,
2017 Duterte,learned experience davao city investor confidence bolstered fortified potent force mechanism protection local foreign investments place.,,,
2017 Duterte,"why, resolved matter long takes, fight illegal drugs continue root cause much evil much suffering weakens social fabric deters foreign investments pouring in.",,,
2017 Duterte,fight unremitting unrelenting.,,,
2017 Duterte,"despite international local pressures, fight stop deal understand cease, stop alternatives either jail hell.",,,
2017 Duterte,"make sure, sure luxury enjoying benefits greed madness.",,,
2017 Duterte,intend loosen leash campaign lose fight illegal drugs.,,,
2017 Duterte,neither intend preside destruction filipino youth timid tentative decisions actions.,,,
2017 Duterte,"critics fight, efforts better spent use influence, moral authority ascendancy organizations respective sectors educate people evils illegal drugs instead condemning authorities unjustly blaming every killing bloodies country.",,,
