full_nameyears,sentence,label,sentiment_label,sentiment_score
2009 Arroyo, ninth state nation address excellency gloria macapagalarroyo president philippines opening regular session congress thank you.,,,
2009 Arroyo,"ladies gentlemen, good afternoon.",,,
2009 Arroyo,"begin report nation, please join first moment prayer president aquino.",,,
2009 Arroyo,"senate president enrile, speaker nograles, senators, representatives, vice president de castro, former president ramos, chief justice puno, ambassadors, friends past months year history books.",,,
2009 Arroyo,financial meltdown west spread throughout world.,,,
2009 Arroyo,tens millions lost jobs billions across globe hurt—the poor always harder rich.,,,
2009 Arroyo,one spared.,,,
2009 Arroyo,affected us already.,,,
2009 Arroyo,"story philippines country weathered succession global crises fuel, food, finance finally, economy global recession, never losing focus economic fundamentals intact.",,,
2009 Arroyo,"days ago, moodys upgraded credit rating, citing resilience economy.",,,
2009 Arroyo,state nation strong economy.,,,
2009 Arroyo,"good news people, bad news critics.",,,
2009 Arroyo,become president popular.,,,
2009 Arroyo,"work, lead, protect preserve country, people, became president.",,,
2009 Arroyo,"father left presidency, second japan.",,,
2009 Arroyo,want republic ready first world years.,,,
2009 Arroyo,"towards vision, made key reforms.",,,
2009 Arroyo,economic plan centers putting people first.,,,
2009 Arroyo,"higit sa lahat, ang layunin ng ating patakaran ay tulungan ang masisipag na karaniwang pilipino.",,,
2009 Arroyo,"new tax revenues put place help pay better health care, roads, strong education system.",,,
2009 Arroyo,housing policies designed lift poorer citizens live raise family dignity.,,,
2009 Arroyo,"ang ating mga puhunan sa agrikultura ay naglalayong kilalanin ang ating mga magsasaka bilang backbone ng ating bansa, bigyan sila ng mga modernong kagamitan feed nation feed family.",,,
2009 Arroyo,"listened critics policies, braced crisis came, taken easy road much preferred politicians eyeing elections, country would flat back.",,,
2009 Arroyo,would take twice effort get back feet—to took responsibility paid political price right thing.,,,
2009 Arroyo,"standing right thing, thank you, congress.",,,
2009 Arroyo,"strong, bitter, unpopular revenue measures past years spared country worst global financial shocks.",,,
2009 Arroyo,gave us resources stimulate economy.,,,
2009 Arroyo,"nabigyan nila ang pinakamalaking pagtaas ng ira ng mga lgu na billion itong taon, imparting strength throughout country every level government.",,,
2009 Arroyo,"compared past, built better infrastructure, including started others left unfinished.",,,
2009 Arroyo,subicclarktarlac expressway prime example building better roads.,,,
2009 Arroyo,creates wealth flagship subicclark corridor.,,,
2009 Arroyo,"built airports international standard, upgraded domestic airports, built seaports roll onroll system.",,,
2009 Arroyo,ask congress philippine transport security law.,,,
2009 Arroyo,"say sona, politics.",,,
2009 Arroyo,"sorry, theres work.",,,
2009 Arroyo,"sa telecommunications naman, inatasan ko ang telecommunications commission na kumilos na tungkol sa mga sumbong na dropped calls mga nawawalang load sa cell phone.",,,
2009 Arroyo,need amend commonwealthera public service law.,,,
2009 Arroyo,need now.,,,
2009 Arroyo,"kung noong nakaraan, lumakas ang electronics, today creating wealth developing bpo tourism sectors additional engines growth.",,,
2009 Arroyo,electronics manufactured exports rise fall accordance state world economy.,,,
2009 Arroyo,bpo remains resilient.,,,
2009 Arroyo,"earnings billion employment ,, bpo phenomenon speaks eloquently competitiveness productivity.",,,
2009 Arroyo,let us department ict.,,,
2009 Arroyo,"last four years, tourism almost doubled.",,,
2009 Arroyo,billion industry.,,,
2009 Arroyo,"reforms gave us resources protect people, financial system, economy worst shocks best west failed anticipate.",,,
2009 Arroyo,gave us resources extend welfare support enhance spending power.,,,
2009 Arroyo,"helping raise government salaries joint resolution , thank you, congress.",,,
2009 Arroyo,cash handouts give immediate relief produce widest stimulating effect.,,,
2009 Arroyo,"nakikinabang ang , na pinakamahihirap na pamilya sa programang pantawid pamilya.",,,
2009 Arroyo,prioritize projects stimulus effects plus longterm contributions progress.,,,
2009 Arroyo,"sa pagpapamahagi ng milyunmilyong ektaryang lupa, , na katutubo mahigit milyong benepisyaryo ng carp ay taasnoong mayari na ng sariling lupa.",,,
2009 Arroyo,"hinihiling ko sa kongreso na ipasa agad ang pagpapalawig ng carp, dapat macondone ang billion na land reform liabilities dahil lamang ang nabayaran mula .",,,
2009 Arroyo,"napapanahon, unfreeze rural property market.",,,
2009 Arroyo,ang mahal kong ama ang nagemancipate ng mga magsasaka.,,,
2009 Arroyo,iimancipate naman natin ngayon ang titulo.,,,
2009 Arroyo,nakinabang ang pitong milyong entrepreneurs sa billion microfinance loans.,,,
2009 Arroyo,"nakinabang ang , sa emergency employment ng ating economic resiliency plan.",,,
2009 Arroyo,"kasama natin ngayon ang isa sa kanila, si gigi gabiola.",,,
2009 Arroyo,"dating household service worker sa dubai, ngayon siya ay nagtatrabaho sa dole.",,,
2009 Arroyo,"good luck, gigi.",,,
2009 Arroyo,"nakinabang ang milyong pamilya sa programang pabahay palupa, mula pagibig, nha, community mortgage program, certificates lot award, saka yung inyong loan condonation restructuring act.",,,
2009 Arroyo,salamat.,,,
2009 Arroyo,average inflation lowest since .,,,
2009 Arroyo,"last june, dropped .. paano proper policies lowered interest rates, lowered costs business consumers.",,,
2009 Arroyo,"dahil sa ating mga reporma, nakaya nating ibenta ang bigas nfa sa .",,,
2009 Arroyo,"per kilo, kahit tumaas ang presyo sa labas mula .",,,
