full_nameyears,sentence,label,sentiment_label,sentiment_score
Duterte-2021,"ran presidency, made fundamental promises strangely count fingers hand.",,,
Duterte-2021,"made changes, thought really time doable.",,,
Duterte-2021,"offer free education — its already — universal health care , nandiyan na po fight illegal drugs, criminality corruption development infrastructure, including free irrigation big ticket projects, thought funds it, per chance, among others, done term.",,,
Duterte-2021,"today approach end term, less visions remembrances.",,,
Duterte-2021,"mine rue second guess might been, bear respond urgency unforeseen events unfold.",,,
Duterte-2021,"even took oath office, – everyone else, suppose – knew gravity enormity problems country facing.",,,
Duterte-2021,"precisely awareness, driven hasten implementation changes believed country needed, keeping mind constitution afforded six years make changes happen.",,,
Duterte-2021,making difference within constitutional timeframe against.,,,
Duterte-2021,one gets legally without worming needles eye constitutional imperatives.,,,
Duterte-2021,"cajoled, shoved, pushed, tangled men wealth influence oblivious anguish pleas weak impoverished.",,,
Duterte-2021,"that, pilloried end.",,,
Duterte-2021,succumb attacks.,,,
Duterte-2021,"neither allow criticisms, however intense, dampen determination initiatives, purpose pure unpolluted.",,,
Duterte-2021,"busy instituting reforms, twin ogres illegal drugs corruption laid low resurface us — still us, make mistake corruption another term stealing peoples money, dashing, wake, nations goals aspirations.",,,
Duterte-2021,"due brilliant programs excellent work economic managers extraordinary cooperation executive legislative branches government, economy, investor confidence, poised leapfrog company worlds fastest growing economies pandemic stalled everything.",,,
Duterte-2021,"may, allow opportunity extend personal nations gratitude selflessly gave fight .",,,
Duterte-2021,"health workers frontliners risked safety keep essential health services food supply chain running, economic activity, ensure peace order communities.",,,
Duterte-2021,would like also extend deepest appreciation generosity private sector came governments aid fighting .,,,
Duterte-2021,"profoundly thankful sustained assistance fellow filipinos, amidst deleterious effect pandemic respective industries.",,,
Duterte-2021,let assure government committed assist private sector regain commercial vibrance country prior pandemic.,,,
Duterte-2021,"local executives, pandemic pushed step deliver responsive assistance.",,,
Duterte-2021,"glad seen undertake new heightened responsibilities, working doubly hard protect constituents.",,,
Duterte-2021,"international development partners extended helping hand amidst global health emergency, philippines remembers kindness goodwill sincere gratitude.",,,
Duterte-2021,"answered call protect one another adhering nations protocols, daghang salamat.",,,
Duterte-2021,"then, let ask, perhaps exactly state nation today light pandemic paralyzed business activities crippled even strongest worlds economies go first sona, laid utmost commitment resolve overall direction presidency comfortable life filipinos anchored peoplecentered approach development governance.",,,
Duterte-2021,"remember correctly, administration, said, implement human approach development governance, peoples welfare areas health, free education, adequate food housing, environmental preservation, respect culture.",,,
Duterte-2021,bore illusion steering nation towards comfortable life every filipino would easy.,,,
Duterte-2021,"indeed, past five years truly challenging humbling.",,,
Duterte-2021,"stand today bearing conceit, one thing could proud waver unpopular even meant upholding greatest good greatest number.",,,
Duterte-2021,"took office, country beset communist insurgency scattered across nation, separatist movement sought divide us basis religion religious differences, proliferation illegal drugs criminality.",,,
Duterte-2021,"armed forces illequipped deal internal external threats, police force overwhelmed criminality drug trade problem.",,,
Duterte-2021,"made priority strengthen institution boost morale men women armed forces philippines, philippine national police, armed services.",,,
Duterte-2021,"again, thank congress working executive department enhancing capabilities afp pnp modernization program.",,,
Duterte-2021,", raised salaries military uniformed policemen personnel level commensurate critical role play upholding national security maintaining order.",,,
Duterte-2021,"asking congress pass unified system separation, retirement pension military uniformed personnel maintain government fiscal flexibility provide adequate benefits remuneration men women uniform.",,,
Duterte-2021,shall apply new entrants military services.,,,
Duterte-2021,hindi ho lahat.,,,
Duterte-2021,"cannot pay many, even salaries retired.",,,
Duterte-2021,get chunk big budget.,,,
Duterte-2021,"include new entrants, funds available would enough.",,,
Duterte-2021,also high time us pass law providing free legal assistance afp pnp officers enlisted personnel help charges arising incidents related performance official duty.,,,
Duterte-2021,"continuous upgrading defense capability shall ensure shall uphold territorial integrity sovereignty external security threats, among new additions.",,,
Duterte-2021,"welcomed countrys two missilecapable warships, enable us protect seas.",,,
Duterte-2021,"providing necessary equipment, enhancing professional capabilities, looking families soldiers would longer company.",,,
Duterte-2021,strengthen military police institutions — also inspire serve nation highest degree loyalty patriotism.,,,
Duterte-2021,enabled carry mandate defeat enemies state whatever cost.,,,
Duterte-2021,"indeed, proud accomplishments troops securing nation threats democratic institutions.",,,
Duterte-2021,peace must realized — peace security military concern.,,,
Duterte-2021,deviated traditional purely military approach dealing matters national security.,,,
Duterte-2021,"creation national task force end communist armed conflict ntfelcac, made great strides addressing root causes conflict empowering kababayans used communists many decades.",,,
Duterte-2021,"continuing effort build safe conflictresilient barangays, worked towards sustainable rehabilitation development communities communists used operate.",,,
Duterte-2021,"ntfelcac, invested farmtomarket roads, school buildings, water sanitation , health stations, livelihood .",,,
Duterte-2021,"alam mo, kasali na tayo dito lahat.",,,
Duterte-2021,"always every law every regulation must pass congress, course, president.",,,
Duterte-2021,"sometimes, know, our well, performance duties, encounter notsonice confronting other.",,,
Duterte-2021,"interventions, former communist rebels surrendered government.",,,
Duterte-2021,"returned fold law happily reintegrating , eclip.",,,
Duterte-2021,its either talking fast slow operator thing drowsy.,,,
Duterte-2021,maybe many ad libs along way.,,,
Duterte-2021,marami ho akong akin lang.,,,
Duterte-2021,kaya yung nahinto ako.,,,
Duterte-2021,stop process something — gray matter ears — hindi humahabol hindi alam ng operator.,,,
Duterte-2021,"hindi bale, maam.",,,
Duterte-2021,mahal pa rin kita.,,,
Duterte-2021,lalaki ba ito yung mga babae kagabi yung mga babae.,,,
Duterte-2021,sila sabihin mo sa kanila makipagkita ako mamaya.,,,
Duterte-2021,embrace punctuality operating ano — strange machine gives speech.,,,
Duterte-2021,"support local government units, confident support communist movement continue erode next months.",,,
Duterte-2021,"like decadesold moro rebellion mindanao, also bring end armed struggle communists all.",,,
Duterte-2021,"sa totoo lang, itong komunista college pa ako.",,,
Duterte-2021,"hanggang ngayon, ang mga — sige pa rin.",,,
Duterte-2021,so speechspeech man lang ito.,,,
Duterte-2021,kunwari lang pero ang totoo theres lot fighting going countryside.,,,
Duterte-2021,id like credit police military destroying many communist fronts.,,,
Duterte-2021,think destroyed apparatus fronts communist party philippines.,,,
Duterte-2021,"alam mo, magistorya muna tayo sa taxation.",,,
Duterte-2021,id like frank you.,,,
Duterte-2021,"everybody, everybody country, paying taxes communists.",,,
Duterte-2021,communist party earns billions pass little fighting men die ideology rotten corrupt.,,,
Duterte-2021,"pocketing money children studying europe places, think none finance journey.",,,
Duterte-2021,iyan ang masakit dito.,,,
Duterte-2021,"collect taxes, support sison netherlands, nothing badmouth government mouth war dogmas everything.",,,
Duterte-2021,hindi na sila napagod.,,,
Duterte-2021,its years making.,,,
Duterte-2021,"today, poor people dying.",,,
Duterte-2021,cadres belonging indigenous tribes country fighting losing battle communist government.,,,
Duterte-2021,"waste lives, enlist children proud it, deny it.",,,
Duterte-2021,"go mountains senator go many times, even elections, many arms think somebody — idiot philippines supplied firearms.",,,
Duterte-2021,"id like ask congress, especially senator bato, kindly dig identified person imported country pretext using security — providing security guards all, business establishments afford home.",,,
Duterte-2021,"policeman, think, still there.",,,
Duterte-2021,colonel still walang nangyari.,,,
Duterte-2021,maraming sundalong namatay dahil sa mga armas na pinasok nila dito sa pilipinas.,,,
Duterte-2021,"orders — you, see walking around, kindly shoot dead.",,,
Duterte-2021,would happy.,,,
Duterte-2021,"anyway, already charged icc together me.",,,
Duterte-2021,problem adding another one another idiot filipino caused great damage country.,,,
Duterte-2021,iyan ho ang totoo diyan.,,,
Duterte-2021,itong mga pulis let go back time.,,,
Duterte-2021,"first said fight drugs six months, thought like davao.",,,
Duterte-2021,"either coerce, intimidate bribe them, give money, said, lumabas kayo ng davao.",,,
Duterte-2021,"doon kayo magkalat sa luzon sa ibang lugar, huwag dito sa davao.",,,
Duterte-2021,naniniwala naman ang mga ulol able attain sense normalcy city.,,,
Duterte-2021,iyon ho ang totoo.,,,
Duterte-2021,"people charged corruption even going prison maybe telling truth itong assets liabilities, nakukulong.",,,
Duterte-2021,"eh p itong mga pulis thing, drugs, manufacturers distributor drugs.",,,
Duterte-2021,"became president, asked dela rosa — chief police city — promoted direct pnp chief.",,,
Duterte-2021,four star na kaagad automatic.,,,
Duterte-2021,"told them, told others, look enemies.",,,
Duterte-2021,"look — find them, destroy apparatus, destroy manufacturers peddlers fighting drug war participated business nine generals pnp.",,,
Duterte-2021,kaya yan ang masakit sa loob ko.,,,
Duterte-2021,know fighting government.,,,
Duterte-2021,customs everyone else facilitating importation drugs.,,,
Duterte-2021,"one importation, see every night tv, police seize almost billion worth drugs everyday.",,,
Duterte-2021,"look , thousand filipinos arrested everyday police connection drug trafficking.",,,
Duterte-2021,go crazy looking situation.,,,
Duterte-2021,still around.,,,
Duterte-2021,laboratories nawala na sila itong naiwan ngayon importation.,,,
Duterte-2021,citizens another country cooked shabu — — tugboat something threw product — contained plastic bags gps attached contraband importers could find easily.,,,
Duterte-2021,fighting almost losing battle drugs.,,,
Duterte-2021,"gangsters mexico triad laos area, busy cooking filipinos — nothing mind except destroy nation — distributes them.",,,
Duterte-2021,said.,,,
Duterte-2021,ive asked question several times gave answer.,,,
Duterte-2021,filipino love country.,,,
Duterte-2021,want country disarray drugs.,,,
Duterte-2021,want families break become dysfunctional.,,,
Duterte-2021,iyon ang masakit sa akin.,,,
Duterte-2021,"— want destroy family, look way member resident family home, bigyan mo ng droga.",,,
Duterte-2021,"pag nandiyan na yung droga hooked, end.",,,
Duterte-2021,"sometimes families separated drugs, becomes dysfunctional, yung mga asawa magpunta doon sa abroad, ika nga, look jobs.",,,
Duterte-2021,"know, middle east — attributing particular country — tribes middle east employing filipina citizens uniform.",,,
Duterte-2021,everybody comes home ask many hours sleep said its three four hours food hogwash.,,,
Duterte-2021,"sacrifice send money families back home thinking time money spent usefully, realize comes home family already dispersed nowhere.",,,
Duterte-2021,"bakit yan itong mga durugista sa baba, itong peddlers, itong basurero tawag — its street lingo — look families na may mga nanay, tatay nagtrabaho — ang tatay nanay nagtatrabaho sa abroad.",,,
Duterte-2021,"think na iniiwan nila ang mga anak nila kung saansaan na lang, neighbors tender age three four, five, breaks heart.",,,
Duterte-2021,iiwan lang nila sa kapitbahay kung walang mga relatives.,,,
Duterte-2021,"come back five years, four years after, realized young sons daughters gone prostitution drugs boys fem — male nowhere found drug business also.",,,
Duterte-2021,iyon ang pinakamasakit.,,,
Duterte-2021,"masakit sa akin na ang pilipina pumunta doon para magtrabaho sexual abuse tribes middle east notion slave paid person working them, sexual abuse becomes part territory.",,,
Duterte-2021,kaya diyan ako pumuputok nakikita ko yung mga pamilya na sira.,,,
Duterte-2021,"think labored without sleep, eating, said, garbage, allowed go church pray prohibited them.",,,
Duterte-2021,"money get, look way around.",,,
Duterte-2021,"still — know, bothered every night they happen next succeeding group of speech talk slavery.",,,
