full_nameyears,sentence,label,sentiment_label,sentiment_score
Duterte-2019,state nation address rodrigo roa duterte president philippines congress philippines thank you.,,,
Duterte-2019,kindly sit down.,,,
Duterte-2019,"kumusta po kayo senate president vicente sotto iii honorable members senate house speaker alan peter cayetano honorable members house representatives vice president maria leonor robredo, magandang hapon po sa inyo — sa iyo, maam, kung nasaan ka former presidents fidel v. ramos, joseph ejercito, macapagal arroyo excellency caccia esteemed members diplomatic corps executive secretary salvador medialdea members cabinet chief justice lucas bersamin supreme court fellow workers government mga mahal kong kababayan.",,,
Duterte-2019,let begin extending hand gratitude kept faith trying times.,,,
Duterte-2019,numbers speak thousand words tell hundred tales.,,,
Duterte-2019,landslide victory administration candidates well latest survey results shows disapproval rating .,,,
Duterte-2019,hope members congress — sana hindi kayo included sa — inspires determination pursue relentlessly started start administration.,,,
Duterte-2019,"men imbued courage believes right whatever opposition terms numbers noise, makes majority.",,,
Duterte-2019,eagle fight fight eagle matters.,,,
Duterte-2019,"believe me, end term fighting.",,,
Duterte-2019,"three years since took oath office, pains say learned lesson.",,,
Duterte-2019,illegal drug problem persists.,,,
Duterte-2019,corruption continues emasculates courage need sustain moral recovery initiatives.,,,
Duterte-2019,"years ago, saw terrible devastation caused illegal drugs.",,,
Duterte-2019,"may , , law enforcers launched operation serve warrant neutralize terrorists.",,,
Duterte-2019,group armed men sophisticated weaponry aided locals radicalized extremist dogma teachings fought troops weeks.,,,
Duterte-2019,"marawi siege, tons shabu worth millions millions pesos.",,,
Duterte-2019,drug money killed wounded soldiers policemen fivemonth battle.,,,
Duterte-2019,aware still long way go fight social menace.,,,
Duterte-2019,let reason advocate imposition death penalty crimes related illegal drugs.,,,
Duterte-2019,"citizens begun part war drugs, barangay formation antidrug councils, also actually surrendering bricks cocaine found floating sea islands.",,,
Duterte-2019,call responsibility.,,,
Duterte-2019,"however, drugs crushed unless continue eliminate corruption allows social monster survive.",,,
Duterte-2019,"respectfully request congress reinstate death penalty heinous crimes related drugs, well plunder.",,,
Duterte-2019,"countrymen, sad commentary cannot distinguish need greed, principles prejudices, real fake, truth lie.",,,
Duterte-2019,"reason many us, matters self.",,,
Duterte-2019,selfishness worst purpose personal aggrandizement.,,,
Duterte-2019,"borrow language f. sionil jose, risen beyond parochial interests.",,,
Duterte-2019,"warped loyalty family, friends tribal kin continue exact heavy toll programs designed uplift poor reassure investors, foreign investors local, business sector country.",,,
Duterte-2019,recent uncovering massive fraud perpetrated public health insurance system proves corruption pervasive.,,,
Duterte-2019,huge amounts medical funds released cover padded medical claims imaginary treatment ghost patients.,,,
Duterte-2019,grossly disappointed.,,,
Duterte-2019,government conned millions pesos could used treat illnesses possibly save lives many.,,,
Duterte-2019,thus ordered nbi arrest cause prosecution liable.,,,
Duterte-2019,"appointed new philhealth president, know man integrity, military man, former military officer, gave marching orders prioritize ridding agency corruption.",,,
Duterte-2019,"way, commend bureau investigation handling high profile cases resulting arrest prosecution criminals.",,,
Duterte-2019,culprits day reckoning court.,,,
Duterte-2019,hope happens last three years term.,,,
Duterte-2019,"concerning unscrupulous persons manning ports scalawags uniform, unyielding reforms weed public service.",,,
Duterte-2019,"fired caused resignation hundred officials appointees government without regard relationship, friendship alliance.",,,
Duterte-2019,"sacred cow, saying goes, administration.",,,
Duterte-2019,institutions stewards resources agents development long major source public frustration.,,,
Duterte-2019,drastic reforms within agencies yielded results.,,,
Duterte-2019,"governmentowned controlled corporations goccs, infamous high salaries bonuses paid executives employees, started shape up.",,,
Duterte-2019,"july , , collected billion goccs government corporations, which, billion, pagcor.",,,
Duterte-2019,billion collected .,,,
Duterte-2019,salute andrea domingo.,,,
Duterte-2019,"magpasugal ka pa, maam, nang marami.",,,
Duterte-2019,"bureau customs, though corruptionridden, managed collect five hundred eighty five billion pesos ,,, .",,,
Duterte-2019,imagine much could collected boc clean less corrupt.,,,
Duterte-2019,may cut — magsalita lang ako kung anong sa isip ko.,,,
Duterte-2019,"went bureau customs two weeks ago found facing charges, criminal charges, investigation.",,,
Duterte-2019,hope cooperation congress cannot abolish position.,,,
Duterte-2019,"cannot dismiss reason security tenure, allow plantilla positions report congress everyday help huge paperwork everyday.",,,
Duterte-2019,go premises customs area.,,,
Duterte-2019,want back.,,,
Duterte-2019,"we, government, talk much, act little, slow.",,,
Duterte-2019,recall saying congressional hearing mayor davao city.,,,
Duterte-2019,say emphasize little changed since then.,,,
Duterte-2019,long rhetorics short accomplishments.,,,
Duterte-2019,its either congress — even executive department maybe me.,,,
Duterte-2019,rectify error.,,,
Duterte-2019,"why, implore occupy positions power authority, let deeds accomplishments talking.",,,
Duterte-2019,lead example.,,,
Duterte-2019,words ring hollow followed positive prioritized action.,,,
Duterte-2019,"time again, emphasized like fellow workers government, trabahante lang po ako ng pilipino.",,,
Duterte-2019,"last year, assign — signed ease business efficient government service delivery act, significant piece legislation improve service delivery fight corruption, still now.",,,
Duterte-2019,"however, much done ensuring responsiveness peoples needs.",,,
Duterte-2019,"based complaints received contact center bayan, contact center bayan – — thats office — lto, sss, bir, lra, pagibig top five agencies need drastically improve service.",,,
Duterte-2019,"reiterate government — directive government instrumentalities, including lgus government corporations simplify.",,,
Duterte-2019,may i nandito ba kayo simplify.,,,
Duterte-2019,like others.,,,
Duterte-2019,electronically.,,,
Duterte-2019,go office.,,,
Duterte-2019,ive asking since three years ago.,,,
Duterte-2019,"pag hindi pa ninyo nagawa yan ngayon, papatayin ko talaga kayo.",,,
Duterte-2019,nabubwisit na simplify make services responsive — clientfriendly.,,,
Duterte-2019,"client filipino, employer — money pockets come from, salaries.",,,
Duterte-2019,"thanks executive secretary medialdea, increased number lines hotline make responsive public.",,,
Duterte-2019,ultimate goal people freed using hotlines government service response markedly improved.,,,
Duterte-2019,"again, will ang problema kasi ng fili — im addressing filipino.",,,
Duterte-2019,"kayo rin kasi sinasabi ko na sa inyo, assertive.",,,
Duterte-2019,"pag kayo ikaw hiningian required payment government humingi pa sa iyo, ive telling mageskandalo kayo sa opisina.",,,
Duterte-2019,make scene.,,,
Duterte-2019,sampalin mo yang p na yan.,,,
Duterte-2019,kasi aabot rin sa akin yan.,,,
Duterte-2019,done that.,,,
Duterte-2019,"ako magprangka ako sa inyo, ako lang ang presidente na hanggang ngayon nagbubugbog talaga ng tao diyan sa loob ng malacañan.",,,
Duterte-2019,pinapakain ko ng pera yang mga na yan.,,,
