full_nameyears,sentence,label,sentiment_label,sentiment_score
Arroyo-2007,"achieved hallmarks modern society, institutions strong.",,,
Arroyo-2007,", philippines well way achieving vision.",,,
Arroyo-2007,"tax reforms last congress, thank last congress, turned around macroeconomic condition fiscal discipline, toward balanced budget.",,,
Arroyo-2007,"binabayaran ang utang, pababa ang interes, paakyat ang pondo para sa progreso ng sambayanang pilipino!!!",,,
Arroyo-2007,maraming salamat ulit sa nakaraang congress.,,,
Arroyo-2007,investing hundreds billions human physical infrastructure.,,,
Arroyo-2007,"next three years see record levels well thought generous funding following priorities first, investments physical, intellectual, legal, security infrastructure increase business confidence.",,,
Arroyo-2007,imprastraktura para sa negosyo trabaho.,,,
Arroyo-2007,isang milyong trabaho tauntaon.,,,
Arroyo-2007,"second, investments stronger wider social safety net—murang gamot, abotkayang pabahay, eskwelang primera klase, mga gurong magaling mas malaki ang kita, mga librong dekalidad, scholarships gifted students, language instruction maintain lead english proficiency.",,,
Arroyo-2007,dunong kalusugan ang susi sa kasaganaan.,,,
Arroyo-2007,"third, investments bringing peace mindanao crushing terrorism wherever threatens regardless ideology putting stop human rights abuses whatever excuse.",,,
Arroyo-2007,pay tribute fearless savagely massacred tipotipo trying pursue peaceful progressive philippines.,,,
Arroyo-2007,disappoint hopes.,,,
Arroyo-2007,waste sacrifice.,,,
Arroyo-2007,swayed course set conflict peace justice throughout land.,,,
Arroyo-2007,"created philippine model reconciliation built interfaith dialogue, expanded public works, responsive social services.",,,
Arroyo-2007,"investments show sides mindanao conflict stake common greater reason together hang apart, including together isolating terrorists.",,,
Arroyo-2007,"imprastraktura ang haliging nagtitindig hindi lamang ng kapayapaan kundi ng ating buong makabagong ekonomiya mga kalsada, tulay, paliparan, public parks, power plants.",,,
Arroyo-2007,"last year unveiled super regions—mindanao, central philippines, north luzon agribusiness quadrangle, luzon urban beltway, cyber corridor—to spread development away inequitable concentration metro manila.",,,
Arroyo-2007,hindi lamang maynila ang pilipinas.,,,
Arroyo-2007,super regions gimmick occasion blueprint building future.,,,
Arroyo-2007,"mindanao, food basket, said would prioritize agribusiness investments.",,,
