full_nameyears,sentence,label,sentiment_label,sentiment_score
Duterte-2017,propensity started almost years ago members congress.,,,
Duterte-2017,"senate president aquilino pimentel iii members senate pantaleon alvarez, speaker members house representatives vice president maria leonor robredo former presidents fidel ramos, joseph estrada, former president gloria arroyo chief justice maria lourdes sereno supreme court members courts archbishop pinto distinguished guests diplomatic corps secretary salvador medialdea members cabinet fellow workers government countrymen.",,,
Duterte-2017,"took oath office year ago, knew country reeling multitude problems.",,,
Duterte-2017,"day, euphoria air resulting successful campaign thought dominated make good promise people bring — change government, change passing change survive test time.",,,
Duterte-2017,"although still know magnitude gravity problems, feeling that, equipped political braced concerned citizenry, problems would eventually bested us.",,,
Duterte-2017,matter determination collective action.,,,
Duterte-2017,question time.,,,
Duterte-2017,"saw see now, problem world stop march people unflinching tenacious determination.",,,
Duterte-2017,euphoric — euphoric been.,,,
Duterte-2017,"early on, felt change meaningful, start occupying highest positions government change comes transitory permanent.",,,
Duterte-2017,aiming permanence.,,,
Duterte-2017,let change trickle bottom.,,,
Duterte-2017,"change confined merely replacement people people, change peoples attitude, disposition work ethic.",,,
Duterte-2017,"sadly, although knew years ago needed ought do, idea government parochial could rise family, ethnic clan loyalties well loyalty friends coworkers.",,,
Duterte-2017,one wanted snitch.,,,
Duterte-2017,one saying genuine change country truly needs.,,,
Duterte-2017,"believed then, believe still, progress development sputter criminals, illegal drugs, illegal users drugs allowed roam streets freely, victimizing seeming impunity, innocent helpless.",,,
Duterte-2017,"worse yet, times past protectors people perpetrators crimes tasked prevent suppress.",,,
Duterte-2017,ironic madness.,,,
Duterte-2017,learned economy surges peace order prevailing places investors pour capital expertise.,,,
Duterte-2017,learned experience davao city investor confidence bolstered fortified potent force mechanism protection local foreign investments place.,,,
Duterte-2017,"why, resolved matter long takes, fight illegal drugs continue root cause much evil much suffering weakens social fabric deters foreign investments pouring in.",,,
Duterte-2017,fight unremitting unrelenting.,,,
Duterte-2017,"despite international local pressures, fight stop deal understand cease, stop alternatives either jail hell.",,,
Duterte-2017,"make sure, sure luxury enjoying benefits greed madness.",,,
Duterte-2017,intend loosen leash campaign lose fight illegal drugs.,,,
Duterte-2017,neither intend preside destruction filipino youth timid tentative decisions actions.,,,
Duterte-2017,"critics fight, efforts better spent use influence, moral authority ascendancy organizations respective sectors educate people evils illegal drugs instead condemning authorities unjustly blaming every killing bloodies country.",,,
Duterte-2017,dont get wrong.,,,
Duterte-2017,value human life way value mine.,,,
Duterte-2017,life snuffed translates future generations lost.,,,
Duterte-2017,"like cracking acorn oak tree grows – which, turn, produce seeds complete cycle perpetuity.",,,
Duterte-2017,jungle there.,,,
Duterte-2017,"beasts vultures preying helpless, innocent unsuspecting.",,,
Duterte-2017,"allow ruin youth, disintegration families retrogression communities, forced criminals whose greed money insatiable devoid moral purpose.",,,
Duterte-2017,neither immobilized inaction fear commit act expose public condemnation legal prosecution.,,,
Duterte-2017,"harm children whose hands future republic entrusted, hound gates hell.",,,
Duterte-2017,ask join fight illegal drugs forms criminality.,,,
Duterte-2017,"government, equipped legal authority, you, moral ascendancy sector represent, much, hopefully eradicate social scourge plagues us end.",,,
Duterte-2017,"look beyond biases, prejudices, ambition political agenda.",,,
Duterte-2017,search change begin end look find within.,,,
Duterte-2017,"today, multitude problems confront us.",,,
Duterte-2017,sooner one problem solved another surges forth place.,,,
Duterte-2017,disheartened cowed overwhelmed.,,,
Duterte-2017,"trying times troubled events resilience, perseverance determination people tested.",,,
Duterte-2017,filipino stranger neophyte situations like one face today.,,,
Duterte-2017,"can, will, overcome countless times past, work together towards common goal.",,,
Duterte-2017,"sad say, despite efforts, peace, especially island mindanao, continues elude us.",,,
Duterte-2017,"course, peace dead peace living seek.",,,
Duterte-2017,peace flits away like butterfly try snatch wings.,,,
Duterte-2017,pursuit peace continues.,,,
Duterte-2017,"red insurgency us decades muslim issue, centuries.",,,
Duterte-2017,"much time lapsed, many lives lost much destruction wrought peace eludes us still.",,,
Duterte-2017,sometimes almost tempted conclude peace might able come lifetime.,,,
Duterte-2017,"believe me, want trying.",,,
Duterte-2017,persist goal attaining peace last day administration maybe even beyond although different capacity.,,,
Duterte-2017,rebellion mindanao.,,,
Duterte-2017,extremists declared purpose establish caliphate within philippine territory along teachings beliefs islamic state iraq syria otherwise known isis.,,,
Duterte-2017,battle marawi dealt terrible blow quest peace especially alien ideology radical shift purpose injected local setting.,,,
Duterte-2017,declared martial law mindanao believed fastest way quell rebellion least cost lives properties.,,,
Duterte-2017,"time, government would adequately equipped constitutional tool prevent escape rebels easily mingle pretend civilian evacuees regroup another place fight another day, also prevent spreading gospel hate violence rest mindanao.",,,
Duterte-2017,"martial law suspension writ habeas corpus enable military arrest, detain question suspected members sympathizers rebellion similar happened parents maute brothers.",,,
Duterte-2017,"president, reiterating unwavering support commitment soldiers armed forces members police force — ground battlefields risking lives country democracy.",,,
Duterte-2017,backs.,,,
Duterte-2017,"oppose think efforts order, hold — alone responsible.",,,
Duterte-2017,people marawi need help.,,,
Duterte-2017,"caught crossfire government troops muslim extremists, hell need help rise move forward.",,,
Duterte-2017,"cannot provide poor needy many, able keep harm rich few.",,,
