full_nameyears,sentence,label,sentiment_label,sentiment_score
Duterte-2020,vaccine around corner.,,,
Duterte-2020,"sooner later, virus gobbled thousands lives laid rest.",,,
Duterte-2020,"meantime, let us express nations gratitude courageously willingly put lives line serve people country.",,,
Duterte-2020,share griefs families amount tears compensate great losses.,,,
Duterte-2020,"countrymen, sad government focuses attention resources battle coronavirus, take advantage preoccupied government.",,,
Duterte-2020,one senator frank drilon.,,,
Duterte-2020,"interview, arrogantly mentioned among others oligarchs need rich.",,,
Duterte-2020,linked antidynasty system oligarchy topic daughter son.,,,
Duterte-2020,happened committee franchise voted deny grant franchise abscbn.,,,
Duterte-2020,"obviously, defending lopezes oligarchs.",,,
Duterte-2020,great wealth enables economic elites corporations influence public policy advantage.,,,
Duterte-2020,media powerful tool hands oligarchs like lopezes used media outlets battles political figures.,,,
Duterte-2020,casualty lopezes election.,,,
Duterte-2020,"dealers purveyors illegal drugs, hiding shadow covid , stepped activities.",,,
Duterte-2020,amount shabu valued millions pesos seized police operations speak volumes enormity weight problem bear.,,,
Duterte-2020,"corrupt, grafters influence peddlers also take advantage fear confusion coronavirus generates.",,,
Duterte-2020,"financial material assistance government unemployed, sick destitute running billions pesos, spared corruption ineptitude.",,,
Duterte-2020,even donations wellmeaning private persons skimmed reaching intended beneficiaries.,,,
Duterte-2020,like snatching food mouths babes.,,,
Duterte-2020,"profiteers, overpricers corrupt felons must laughing stash dirty monies.",,,
Duterte-2020,long.,,,
Duterte-2020,cannot outrun long arm law.,,,
Duterte-2020,"regard, words former president ramon magsaysay ring fresh relevant today day said decades ago.",,,
Duterte-2020,"said ―we need men integrity faith like rizal del pilar, men action like bonifacio, men inflexible patriotism like mabini.",,,
Duterte-2020,"need zeal, selfreliance, capacity work, devotion service, ability lose common cause building nation.‖ allow greed, selfinterest ambition rule us, stated one prominent physician, ―be left nothing better lesser evil instead greater good.‖ inaugural address four years ago, said leader succeed anything national importance significance unless cooperation support people tasked lead sworn serve.",,,
Duterte-2020,efforts resources poured produced momentum needed bring country closer goals.,,,
Duterte-2020,"suffice state, made significant strides time.",,,
Duterte-2020,.,,,
Duterte-2020,million poor families benefitted pantawid pamilya .,,,
Duterte-2020,million beneficiaries received subsidies unconditional cash transfer program also made available tertiary education universal health care.,,,
Duterte-2020,public utility drivers given assistance pantawid pasada program.,,,
Duterte-2020,complaints drivers receive assistance all.,,,
Duterte-2020,directed dswd dilg look this.,,,
Duterte-2020,welcome passage law postponing barangay sangguniang kabataan elections.,,,
Duterte-2020,postponement saved muchneeded government funds ensured implementation projects current barangay officials.,,,
Duterte-2020,"hindsight, also saved us holding polls dealt continue deal pandemic.",,,
Duterte-2020,malasakit centers act proven great help less fortunate citizens needing medical services onestop platform government hospitals.,,,
Duterte-2020,commend initiative work senator bong go regard well significant pieces legislation.,,,
Duterte-2020,"today, malasakit centers serving filipinos country.",,,
Duterte-2020,centers great help ensuring people remain healthy resilient challenging times.,,,
Duterte-2020,salary standardization law increases salary civilian government workers.,,,
Duterte-2020,"hope law inspire government workers perform better encourage young, brilliant citizens join public service.",,,
Duterte-2020,appreciate law establishing national academy sports.,,,
Duterte-2020,give deserving studentathletes training support need excel chosen field endeavors.,,,
Duterte-2020,"commitment key members congress executive department, phisgoc, philippine sports commission, philippine olympic committee bound together one vision host southeast asian games.",,,
Duterte-2020,athletes prevailed.,,,
Duterte-2020,"that, fostered pride, patriotism, genuine sportsmanship, camaraderie south east asian brothers sisters.",,,
Duterte-2020,"indeed, one.",,,
Duterte-2020,"business community general public, assure landmark ease business efficient government service delivery act gaining momentum.",,,
Duterte-2020,closer eliminating overregulation government services.,,,
Duterte-2020,"frontline processes, including consular services, processing building business permits, services overseas filipinos seafarers streamlined.",,,
Duterte-2020,passports drivers license validity lengthened ease burden public.,,,
Duterte-2020,received bbb plus credit rating despite sea credit rating downgrades negative outlook revisions worldwide.,,,
Duterte-2020,japan credit rating agency upgraded us bbb plus minus last month.,,,
Duterte-2020,"meanwhile, moodys affirmed maintained countrys ratings — rather.",,,
Duterte-2020,"fiscal position strong, economic fiscal management prudent banking system robust.",,,
Duterte-2020,better position weather crisis caused global pandemic.,,,
Duterte-2020,accomplished significant infrastructure projects build build build program.,,,
Duterte-2020,dwell lengthily nittygritty infrastructure accomplishments lest bore you.,,,
Duterte-2020,"instead release comprehensive written report collective milestones details accomplishments remind us perseverance, patience determination help us move forward even difficult times.",,,
Duterte-2020,issued last year executive order no.,,,
Duterte-2020,establishing diversity inclusion program national program government.,,,
Duterte-2020,"want end discrimination persons basis age, disability, ethnicity, sexual orientation gender identity expression, character traits.",,,
Duterte-2020,"administration always believed freedom illegal drugs, terrorism, corruption criminality, .",,,
Duterte-2020,part efforts uphold human rights protection rights children right discrimination.,,,
Duterte-2020,"early last year, signed executive order no.",,,
Duterte-2020,creating national council child labor.,,,
Duterte-2020,"government efforts protect rights children amplified prevent, reduce eliminate form child labor.",,,
Duterte-2020,"achievements along lines extolled overwhelming number fellow memberstates un human rights council, recently held session last june.",,,
Duterte-2020,rest assured dodge obligation fight human rights.,,,
Duterte-2020,"countrymen, lessons learned coronavirus pandemic.",,,
Duterte-2020,"jolted us realize gains made spending much planning, effort, cost time could diminish considerably quickly reasons beyond ones anticipation much easier destroy build crisis national proportions affects every aspect human life, governments need support cooperation people succeed battling cause crisis, people ask compassion show none life, all, fickle like weather.",,,
Duterte-2020,gains achieved first three half years put test pandemic suddenly struck global community.,,,
Duterte-2020,aware road towards comfortable life would far easy pandemic occurred along rest world suffered.,,,
Duterte-2020,global scale socioeconomic impact pandemic unprecedented.,,,
Duterte-2020,"yet throes global health emergency, able withstand headwinds generated coronavirus.",,,
Duterte-2020,"regard would like express gratitude made possible steady supply food, water, basic utilities households provision basic social services financial assistance people.",,,
Duterte-2020,"profound gratitude goes everyone helped keep countrys food supply chain running, valiant soldiers, policemen security guards kept peace order communities dedicated personnel kept essential establishments operational.",,,
Duterte-2020,showed us kindness selflessness.,,,
Duterte-2020,gave us strength.,,,
Duterte-2020,risked lives serve greater good keeping filipino spirit bayanihan.,,,
Duterte-2020,also thank men women interagency task force emerging infectious diseases national task force countless hours spent keep pandemic check efforts made ensure safety people.,,,
