full_nameyears,sentence,label,sentiment_label,sentiment_score
Arroyo-2009,"senate president enrile, speaker nograles, senators, representatives, vice president de castro, former president ramos, chief justice puno, ambassadors, friends past months year history books.",,,
Arroyo-2009,financial meltdown west spread throughout world.,,,
Arroyo-2009,tens millions lost jobs billions across globe hurt—the poor always harder rich.,,,
Arroyo-2009,one spared.,,,
Arroyo-2009,affected us already.,,,
Arroyo-2009,"story philippines country weathered succession global crises fuel, food, finance finally, economy global recession, never losing focus economic fundamentals intact.",,,
Arroyo-2009,"days ago, moodys upgraded credit rating, citing resilience economy.",,,
Arroyo-2009,state nation strong economy.,,,
Arroyo-2009,"good news people, bad news critics.",,,
Arroyo-2009,become president popular.,,,
Arroyo-2009,"work, lead, protect preserve country, people, became president.",,,
Arroyo-2009,"father left presidency, second japan.",,,
Arroyo-2009,want republic ready first world years.,,,
Arroyo-2009,"towards vision, made key reforms.",,,
Arroyo-2009,economic plan centers putting people first.,,,
Arroyo-2009,"higit sa lahat, ang layunin ng ating patakaran ay tulungan ang masisipag na karaniwang pilipino.",,,
Arroyo-2009,"new tax revenues put place help pay better health care, roads, strong education system.",,,
Arroyo-2009,housing policies designed lift poorer citizens live raise family dignity.,,,
Arroyo-2009,"ang ating mga puhunan sa agrikultura ay naglalayong kilalanin ang ating mga magsasaka bilang backbone ng ating bansa, bigyan sila ng mga modernong kagamitan feed nation feed family.",,,
Arroyo-2009,"listened critics policies, braced crisis came, taken easy road much preferred politicians eyeing elections, country would flat back.",,,
Arroyo-2009,would take twice effort get back feet—to took responsibility paid political price right thing.,,,
Arroyo-2009,"standing right thing, thank you, congress.",,,
Arroyo-2009,"strong, bitter, unpopular revenue measures past years spared country worst global financial shocks.",,,
Arroyo-2009,gave us resources stimulate economy.,,,
Arroyo-2009,"nabigyan nila ang pinakamalaking pagtaas ng ira ng mga lgu na billion itong taon, imparting strength throughout country every level government.",,,
Arroyo-2009,"compared past, built better infrastructure, including started others left unfinished.",,,
Arroyo-2009,subicclarktarlac expressway prime example building better roads.,,,
Arroyo-2009,creates wealth flagship subicclark corridor.,,,
Arroyo-2009,"built airports international standard, upgraded domestic airports, built seaports roll onroll system.",,,
Arroyo-2009,ask congress philippine transport security law.,,,
Arroyo-2009,"say sona, politics.",,,
Arroyo-2009,"sorry, theres work.",,,
Arroyo-2009,"sa telecommunications naman, inatasan ko ang telecommunications commission na kumilos na tungkol sa mga sumbong na dropped calls mga nawawalang load sa cell phone.",,,
Arroyo-2009,need amend commonwealthera public service law.,,,
Arroyo-2009,need now.,,,
Arroyo-2009,"kung noong nakaraan, lumakas ang electronics, today creating wealth developing bpo tourism sectors additional engines growth.",,,
Arroyo-2009,electronics manufactured exports rise fall accordance state world economy.,,,
Arroyo-2009,bpo remains resilient.,,,
Arroyo-2009,"earnings billion employment ,, bpo phenomenon speaks eloquently competitiveness productivity.",,,
Arroyo-2009,let us department ict.,,,
Arroyo-2009,"last four years, tourism almost doubled.",,,
Arroyo-2009,billion industry.,,,
Arroyo-2009,"reforms gave us resources protect people, financial system, economy worst shocks best west failed anticipate.",,,
Arroyo-2009,gave us resources extend welfare support enhance spending power.,,,
Arroyo-2009,"helping raise government salaries joint resolution , thank you, congress.",,,
Arroyo-2009,cash handouts give immediate relief produce widest stimulating effect.,,,
Arroyo-2009,"nakikinabang ang , na pinakamahihirap na pamilya sa programang pantawid pamilya.",,,
Arroyo-2009,prioritize projects stimulus effects plus longterm contributions progress.,,,
Arroyo-2009,"sa pagpapamahagi ng milyunmilyong ektaryang lupa, , na katutubo mahigit milyong benepisyaryo ng carp ay taasnoong mayari na ng sariling lupa.",,,
Arroyo-2009,"hinihiling ko sa kongreso na ipasa agad ang pagpapalawig ng carp, dapat macondone ang billion na land reform liabilities dahil lamang ang nabayaran mula .",,,
Arroyo-2009,"napapanahon, unfreeze rural property market.",,,
Arroyo-2009,ang mahal kong ama ang nagemancipate ng mga magsasaka.,,,
Arroyo-2009,iimancipate naman natin ngayon ang titulo.,,,
Arroyo-2009,nakinabang ang pitong milyong entrepreneurs sa billion microfinance loans.,,,
Arroyo-2009,"nakinabang ang , sa emergency employment ng ating economic resiliency plan.",,,
Arroyo-2009,"kasama natin ngayon ang isa sa kanila, si gigi gabiola.",,,
Arroyo-2009,"dating household service worker sa dubai, ngayon siya ay nagtatrabaho sa dole.",,,
Arroyo-2009,"good luck, gigi.",,,
Arroyo-2009,"nakinabang ang milyong pamilya sa programang pabahay palupa, mula pagibig, nha, community mortgage program, certificates lot award, saka yung inyong loan condonation restructuring act.",,,
Arroyo-2009,salamat.,,,
Arroyo-2009,average inflation lowest since .,,,
Arroyo-2009,"last june, dropped .. paano proper policies lowered interest rates, lowered costs business consumers.",,,
Arroyo-2009,"dahil sa ating mga reporma, nakaya nating ibenta ang bigas nfa sa .",,,
Arroyo-2009,"per kilo, kahit tumaas ang presyo sa labas mula .",,,
Arroyo-2009,hanggang dahil sa kakulangan sa supply sa mundo.,,,
Arroyo-2009,"habang, sa unang pagkakataon, naitaas ang pamimili ng palay sa mga magsasaka, mula sa .",,,
Arroyo-2009,"dahil sa ating mga reporma, nakaya nating mamuhunan sa pagkain—anticipating unexpected global food crisis.",,,
Arroyo-2009,"nakagawa tayo ng libulibong kilometro ng farmtomarket roads at, kasama ng pribadong sector, natubigan ang milyong ektarya.",,,
Arroyo-2009,mga badjao gaya ni tarnati dannawi ay tinuruan ng modernong mariculture.,,,
Arroyo-2009,"umabot na sa , ang kinita niya mula noong nakaraang taon.",,,
Arroyo-2009,"congratulations, tarnati.",,,
Arroyo-2009,help fisherfolk shift fish farming budget billion.,,,
Arroyo-2009,"dahil dumarami na naman daw ang pamilyang nagugutom, mamumuhunan tayo ng panibago sa ating hunger mitigation program na sa nakaraan ay napatunayang mabisa.",,,
Arroyo-2009,"tulungan ninyo ako dito, kongreso.",,,
Arroyo-2009,"mula pa noong , nanawagan na tayo ng mas murang gamot.",,,
Arroyo-2009,nagbebenta tayo ng gamot na kalahating presyo sa libulibong botika ng bayan botika ng barangay sa maraming dako ng bansa.,,,
Arroyo-2009,efforts prodded pharmaceutical companies come lowcost generics brands like ritemed.,,,
Arroyo-2009,supported tough version house cheaper medicine law.,,,
Arroyo-2009,supported weak version critics.,,,
Arroyo-2009,"result drug companies volunteered bring drug prices, slashing half prices drugs.",,,
Arroyo-2009,"thank you, congressmen cua, alvarez, biron, locsin.",,,
Arroyo-2009,"pursuant law, placing drugs maximum retail price.",,,
Arroyo-2009,"want president, advice really want something done, it.",,,
Arroyo-2009,"hard, well.",,,
Arroyo-2009,dont pussyfoot.,,,
Arroyo-2009,dont pander.,,,
Arroyo-2009,dont say bad words public.,,,
Arroyo-2009,"sa health insurance, sakop na ng ang ating populasyon.",,,
Arroyo-2009,"sa rent control law ng hanggang , di pwedeng lumampas ng ang pagtaas ng upa tauntaon.",,,
Arroyo-2009,"ayon sa kapipirma nating batas, may isang taong moratorium, tapos hanggang lamang ang maaaring pagtaas.",,,
Arroyo-2009,"salamat, kongreso.",,,
Arroyo-2009,"noong isang taon, nabiyayaan ng ang mahigit pitong milyong tahanan bilang pantawid kuryente sa mga small electricity users.",,,
Arroyo-2009,"yung presyo ng kuryente, ang epira natin ang pangmatagalang sagot.",,,
Arroyo-2009,epira dismantled monopoly.,,,
Arroyo-2009,"ngunit minana natin ang power purchase agreements, kaya hindi pa natin nakakamtan yung buong intended effect.",,,
Arroyo-2009,"pero happy na rin tayo, dahil isang taon na lamang iyan.",,,
Arroyo-2009,next generation benefit low prices epira.,,,
Arroyo-2009,thank you.,,,
Arroyo-2009,"samantala, umabot na sa halos lahat ng barangay ang elektrisidad.",,,
Arroyo-2009,increased indigenous energy .,,,
Arroyo-2009,nakatipid tayo ng dollars tapos malaki pa ang nareduce na oil consumption.,,,
Arroyo-2009,huge reduction fossil fuel biggest proof energy independence environmental responsibility.,,,
Arroyo-2009,"reduction come implementation renewable energy act, biofuels act.",,,
Arroyo-2009,"again, thank you.",,,
Arroyo-2009,next generation also benefit lower public debttogdp ratio.,,,
Arroyo-2009,declined .,,,
Arroyo-2009,cut half debt government corporations likewise foreign debt .,,,
Arroyo-2009,"kung meron man tayong malaking kaaway na tinalo, walang iba kundi ang utang, iyong foreign debt.",,,
Arroyo-2009,past conjured demon foreign debt.,,,
Arroyo-2009,exorcised it.,,,
Arroyo-2009,market grows economies.,,,
Arroyo-2009,"free market, freeforall.",,,
Arroyo-2009,"end, improved banking system complement inherent conservatism.",,,
Arroyo-2009,bangko sentral prudent.,,,
Arroyo-2009,"thank you, governor tetangco, effective.",,,
Arroyo-2009,bsp even effective congress amend charter.,,,
Arroyo-2009,"worked special purpose vehicle act, reducing nonperforming loans improving loandeposit ratios.",,,
Arroyo-2009,new securitization law encourage recklessness brought giant banks insurance companies elsewhere laid economies waste.,,,
Arroyo-2009,"fact, monitors regulates newfangled financial schemes.",,,
Arroyo-2009,"thank you, congress.",,,
Arroyo-2009,work increase tax effort improved collections new sin taxes capacity reduce poverty pursue growth.,,,
Arroyo-2009,revenue enhancement must come department finance plugging leaks catching tax customs cheats.,,,
Arroyo-2009,call taxpaying citizens taxpaying businesses help bir customs stop cheats.,,,
Arroyo-2009,"taxes come alcohol tobacco, books.",,,
Arroyo-2009,"tax hazards lungs livers, tax minds.",,,
Arroyo-2009,ang kita mula sa buwis sa alak sigarilyo ay dapat gamitin sa kalusugan edukasyon.,,,
Arroyo-2009,pondohan ang philhealth premiums ng pinakamahihirap.,,,
Arroyo-2009,pondohan ang mas maraming classroom computers.,,,
Arroyo-2009,pardon partiality teaching profession.,,,
Arroyo-2009,"teacher, kaya namuhunan tayo ng malaki sa education skills training.",,,
Arroyo-2009,"ang magandang edukasyon ay susi sa mas magandang buhay, great equalizer allows every young filipino chance realize dreams.",,,
Arroyo-2009,"nagtayo tayo ng , na silidaralan, nagdagdag ng , na guro, naglaan ng .",,,
Arroyo-2009,"billion para sa teacher training, especially , english teachers.",,,
Arroyo-2009,isa sa pinakamahirap sa millennium development goals ay iyong education para sa lahat pagdating ng .,,,
Arroyo-2009,"ibig sabihin, lahat ng nasa tamang edad ay dapat nasa primary school.",,,
Arroyo-2009,"halos walang bansang nakakatupad nito, ngunit nagsisikap pa rin tayo.",,,
Arroyo-2009,"nagtayo tayo ng mga paaralan sa higit , barangay na dati walang eskwelahan upang makatipid ng gastos sa pasahe ang mga bata.",,,
Arroyo-2009,tinanggal natin ang miscellaneous fees para sa primary school.,,,
Arroyo-2009,hindi na kailangan ang uniporme sa estudyante sa public school.,,,
Arroyo-2009,"private high schools, finance half students.",,,
Arroyo-2009,"provided college postgraduate education , scholars.",,,
Arroyo-2009,"one them, mylene amerolmacumbal, finished accounting msuiit, went law school, placed second last bar exams —the first muslim woman bar topnotcher.",,,
Arroyo-2009,congratulations!,,,
Arroyo-2009,"technical education skills training, invested three times three previous administrations combined.",,,
Arroyo-2009,"narito si jennifer silbor, isa sa milyong trainee.",,,
Arroyo-2009,natuto siya ng medical transcription.,,,
Arroyo-2009,"now, independent contractor lecturer transcriptions davao, kumikita siya ng , bawat buwan.",,,
Arroyo-2009,"good job, jennifer.",,,
Arroyo-2009,"presidential task force education, headed jesuit educator father bienvenido nebres, come main education highway towards knowledgebased economy.",,,
Arroyo-2009,envisions seamless education basic vocational school college.,,,
Arroyo-2009,seeks mainstream early childhood development basic education.,,,
Arroyo-2009,children cherished possession.,,,
Arroyo-2009,early years must make sure get healthy start life.,,,
Arroyo-2009,"must receive right food healthy body, right education bright inquiring mind—and equal opportunity meaningful job.",,,
Arroyo-2009,"college admission, task force recommends mandatory scholastic aptitude tests.",,,
Arroyo-2009,"also recommends higher private education institutions state universities colleges harmonized, also ched oversee local universities colleges.",,,
Arroyo-2009,"professions seeking international recognition—engineering, architecture, accountancy, pharmacy, physical therapy—the task force recommends radical reform years basic education, years preuniversity, years university.",,,
Arroyo-2009,"educational system make filipino fit whatever jobs happen offer today, also whatever economic challenge life throw way.",,,
Arroyo-2009,"sa hirap ginhawa, pinapatatag ang ating bansa ng ating overseas filipinos.",,,
Arroyo-2009,iyong padala nilang billion noong isang taon ay record.,,,
Arroyo-2009,"itong taon, mas mataas pa. know sacrifice joyfully borne.",,,
Arroyo-2009,"work found—in faraway places, among strangers different cultures.",,,
Arroyo-2009,"lonely work, hard work.",,,
Arroyo-2009,"kaya nagsisikap tayong lumikha dito sa atin ng mga trabahong maganda ang sahod, overseas work career choice, option hardworking filipino.",,,
Arroyo-2009,"meanwhile, make sacrifices worthwhile.",,,
Arroyo-2009,dapat gumawa tayo ng mas epektibong proteksyon pagpapalawak ng halaga ng kanilang pinagsikapang suweldo.,,,
Arroyo-2009,means stronger consumer protection overseas filipinos investing property products back home.,,,
Arroyo-2009,"para sa kanila, pinapakilos natin ang investors protection task force.",,,
Arroyo-2009,"hindi ako nagaatubiling bisitahin ang ating taong bayan kanilang mga host sa buong mundo—mula hapon hanggang brazil, mula europa middle east hanggang sa american midwest, nakikinig sa kanilang mga problema pangangailangan, inaalam kung paano sila matutulungan ng ating pamahalaan—by working better policies migrant labor, saving lives restoring liberty.",,,
Arroyo-2009,"pagpunta ko sa saudi, pinatawad ni haring abdullah ang ofw na nasa preso.",,,
Arroyo-2009,pinuno nila ang isang buong eroplano umuwi kasama ko.,,,
Arroyo-2009,"mula sa ating state visit sa espanya, become biggest european donor.",,,
Arroyo-2009,si haring juan carlos ay nakikipagusap sa ibang mga bansa para sa ating mga namomroblemang ofw.,,,
Arroyo-2009,"ganoon din si sheikh khalifa, ang prime minister ng bahrain.",,,
Arroyo-2009,"pagpunta ko sa kuwait, emir alsabah commuted death sentences.",,,
Arroyo-2009,"thank leaders, world leaders, shown compassion overseas filipino workers.",,,
Arroyo-2009,maraming salamat.,,,
Arroyo-2009,vigorous international engagement helped bring foreign investment.,,,
Arroyo-2009,net foreign direct investments multiplied times administration.,,,
Arroyo-2009,"kasama ng ating mga ofws, doubled foreign exchange reserves.",,,
Arroyo-2009,pinalakas ang ating piso naiwasan ang lubhang pagtaas ng presyo.,,,
Arroyo-2009,"upgraded credit reserves peers shrunk past year, reserves grew billion.",,,
Arroyo-2009,international engagement also corrected historical injustice.,,,
Arroyo-2009,"day visited washington, senator daniel inouye successfully sponsored benefits veterans part americas stimulus package.",,,
Arroyo-2009,"accepted invitation president obama first southeast asian leader meet white house, later week.",,,
Arroyo-2009,sought philippines testifies strong deep ties.,,,
Arroyo-2009,high agenda peace security issues.,,,
Arroyo-2009,"terrorism meet it, end it, address roots injustice prejudice—and first always protect lives.",,,
Arroyo-2009,discuss nuclear nonproliferation.,,,
Arroyo-2009,philippines chair review nuclear weapons nonproliferation treaty new york may .,,,
Arroyo-2009,success talks major diplomatic achievement us.,,,
Arroyo-2009,"range issues discuss, including global challenge climate change, especially threat countries long coastlines.",,,
Arroyo-2009,"global recession, worse impact poor people, options spare worst.",,,
Arroyo-2009,"first quarter , stood among economies asia pacific shrink.",,,
Arroyo-2009,"compare , current critics driven people power.",,,
