full_nameyears,sentence,label,sentiment_label,sentiment_score
Aquino-2012,"want true, universal, holistic health care.",,,
Aquino-2012,"begins hospitals, within every household increased consciousness, routine inoculation, regular checkups necessary keep sickness bay.",,,
Aquino-2012,add efforts ensure prevent illnesses power prevent.,,,
Aquino-2012,"example last year, told antidengue mosquito traps.",,,
Aquino-2012,"early claim total victory, scientists rigorous testing, initial results encouraging.",,,
Aquino-2012,tested efficacy mosquito traps areas highest reported incidence dengue.,,,
Aquino-2012,", traps distributed bukidnon—which recorded , cases dengue .",,,
Aquino-2012,"distribution, number cases decreased —that percent reduction rate.",,,
Aquino-2012,"towns ballesteros claveria cagayan, cases dengue , mere eight cases recorded.",,,
Aquino-2012,"catarman, northern samar cases dengue reported .",,,
Aquino-2012,mere four cases .,,,
Aquino-2012,project initial stages.,,,
Aquino-2012,"even early on, must thank secretaries ike ona doh mario montejo dost may gratitude applause spur even intensive research collaboration.",,,
Aquino-2012,challenges remain.,,,
Aquino-2012,high maternal mortality ratio country continues alarm us.,,,
Aquino-2012,undertaken measures address healthcare needs women.,,,
Aquino-2012,"we, too, want universal health care want medical institutions enough equipment, facilities, manpower.",,,
Aquino-2012,"easily fulfill goals, sin tax bill—which rationalizes taxes alcohol tobacco products—can passed.",,,
Aquino-2012,bill makes vice expensive time raising money health.,,,
Aquino-2012,"students—what welcomes schools still first learn alphabet beneath shade tree still squatting floor, tussling classmates single textbook great faith secretary luistro next year ends, built , classrooms needed fill shortage inherited—of this, expect , year.",,,
Aquino-2012,",, backlog chairs bequeathed addressed ends.",,,
Aquino-2012,"year, too, see eradication backlog .",,,
Aquino-2012,million textbooks—and finally achieve onetoone ratio books students.,,,
Aquino-2012,"ending backlogs education sector, potential shortages remains student population continues increase.",,,
Aquino-2012,perhaps responsible parenthood help address this.,,,
Aquino-2012,state universities colleges proposed .,,,
Aquino-2012,percent increase budget next year.,,,
Aquino-2012,"reminder, though, everything accordance plan corresponding conditions budget increase.",,,
Aquino-2012,"suc reform roadmap ched, deliberated agreed upon, must enacted ensure students sponsored state top caliber.",,,
Aquino-2012,"expect work get high marks assignment, striving hard address rest needs.",,,
Aquino-2012,"year year, budget education increased.",,,
Aquino-2012,budget inherited deped last billion pesos.,,,
Aquino-2012,proposal .,,,
Aquino-2012,billion pesos.,,,
Aquino-2012,", sucs allocated budget .",,,
Aquino-2012,billion pesos.,,,
Aquino-2012,"since then, annually raised allocation next year, proposed set aside .",,,
Aquino-2012,billion pesos budget sucs.,,,
Aquino-2012,"despite this, militant groups still cutting classes protest claim cut suc budgets.",,,
Aquino-2012,its simple .,,,
Aquino-2012,"higher , .",,,
Aquino-2012,"higher .. anyone claim cut education budget, well urge schools hold remedial math classes.",,,
Aquino-2012,"please, attend classes.",,,
Aquino-2012,"assumed office began establishing muchneeded reforms, belittled governments performance.",,,
Aquino-2012,"claimed achievements mere luck, impact may shortlived.",,,
Aquino-2012,"still refuse cease spreading negativity keep mouths pursed good news, created industry criticism.",,,
Aquino-2012,"problem fact that, year ends, every child chairs set books, look straight eye tell them, i want go school.",,,
Aquino-2012,take issue fact .,,,
Aquino-2012,"million countrys poorest households avail quality healthcare services without worrying cost, look straight eye tell them, i want get better.",,,
Aquino-2012,"angers three million filipino families empowered fulfill dreams pantawid pamilya, look straight eye tell them, i take away hope future.",,,
Aquino-2012,era policy based whims powerful truly come end.,,,
Aquino-2012,"example, previous leadership tesda generously distributed scholarship vouchers—but neglected fund them.",,,
Aquino-2012,"naturally, vouchers bounced.",,,
Aquino-2012,result thousand schools charging government .,,,
Aquino-2012,billion pesos vouchers.,,,
Aquino-2012,one person one administration wanted show filipino people paying now.,,,
Aquino-2012,"secretary joel villanueva assumed post, daunted seemingly impossible reforms agency needed enact.",,,
Aquino-2012,"despite staggering debt inherited tesda, still trained , individuals training work scholarship program.",,,
Aquino-2012,"tesda specialists technopreneurship program likewise delivered concrete victories—imagine , certified specialistas earning pesos day, , pesos month.",,,
Aquino-2012,higher minimum wage.,,,
Aquino-2012,"infancy, adolescence, adulthood, system working citizens.",,,
Aquino-2012,ensuring economys newfound vitality generates jobs.,,,
Aquino-2012,let us keep mind million new entrants job market every year.,,,
Aquino-2012,jobs produced within past two years total almost .,,,
Aquino-2012,million.,,,
Aquino-2012,"result, unemployment rate declining steadily.",,,
Aquino-2012,", unemployment rate percent.",,,
Aquino-2012,"april , dropped ., dropped .",,,
Aquino-2012,year.,,,
Aquino-2012,apt time us dream day filipino wishes work find job look bpo sector.,,,
Aquino-2012,"back year , , people employed industry.",,,
Aquino-2012,"fast forward , people employed bpos, industry contributed billion dollars economy.",,,
Aquino-2012,"projected come , year bid farewell, bringing billion dollars employing .",,,
Aquino-2012,million filipinos.,,,
Aquino-2012,include estimated .,,,
Aquino-2012,"million taxi drivers, baristas, corner stores, canteens, many others benefit indirect jobs bpo industry create.",,,
Aquino-2012,large portion jobgeneration strategy building sufficient infrastructure.,,,
Aquino-2012,"gone boracay vacation, probably seen newly christened terminal caticlan.",,,
Aquino-2012,plan expand runway also laid out.,,,
Aquino-2012,stop there.,,,
Aquino-2012,"end term, new bohol airport panglao, new legaspi airport daraga, laguindingan airport misamis oriental built.",,,
Aquino-2012,"also upgrade international airports mactan, cebu tacloban puerto princesa airport, receive passengers addition remodeling airports butuan, cotabato, dipolog, pagadian, tawitawi, southern leyte, san vicente palawan.",,,
Aquino-2012,fourth president deal problems naia terminal .,,,
Aquino-2012,airplanes take land problems anomalies.,,,
Aquino-2012,"secretary mar roxas already said convene next sona, structural defects inherited naia fully repaired.",,,
Aquino-2012,"june, lrt line cavite extension project began move forward.",,,
Aquino-2012,"completed, alleviate traffic las piñas, parañaque, cavite.",,,
Aquino-2012,"addition this, order improve traffic metro manila, two elevated roads directly connecting north luzon south luzon expressways.",,,
Aquino-2012,completed reduce travel time clark calamba hour minutes.,,,
Aquino-2012,"leave office, highquality terminals taguig, quezon city, parañaque, provincial buses longer add traffic edsa.",,,
Aquino-2012,perceptions also changed department formerly notorious inadequacies.,,,
Aquino-2012,"still remember days when, rainy season, tarlac river would overflow submerge macarthur highway.",,,
Aquino-2012,"asphalt would melt away road would riddled potholes, ended impassable.",,,
Aquino-2012,"representative district, registered complaints this.",,,
Aquino-2012,"department public works highways reply know problem, know solve it, money.",,,
Aquino-2012,"appeal barangays if dont prioritize spend ourselves, one fix it, ones suffer.",,,
Aquino-2012,"back days, everyone called upon government wake start working.",,,
Aquino-2012,"complaints today different traffic terrible, thats theres much roadwork done.",,,
