full_nameyears,sentence,label,sentiment_label,sentiment_score
Duterte-2018,state nation address rodrigo roa duterte president philippines congress philippines kindly sit down.,,,
Duterte-2018,thank courtesy.,,,
Duterte-2018,"senate president vicente sotto iii members senate house speaker pantaleon alvarez members house representatives vice president maria leonor robredo former presidents fidel v. ramos, joseph ejercito estrada, gloria macapagal arroyo excellency gabriele caccia esteemed members diplomatic corps executive secretary salvador medialdea members cabinet acting chief justice antonio carpio justices supreme court fellow workers government mga kababayan.",,,
Duterte-2018,"two years ago, solemnly took oath worker national government.",,,
Duterte-2018,"inspired institute real changes greater good filipino people, greatly overwhelmed daunting challenges lay ahead.",,,
Duterte-2018,"two years later, solid commitment directly decisively address nations collective challenges remains.",,,
Duterte-2018,wavered.,,,
Duterte-2018,"truth, even gotten stronger adversity desire give people can, within term government.",,,
Duterte-2018,let begin putting bluntly war illegal drugs far over.,,,
Duterte-2018,"before, war resulted seizure illegal drugs worth millions pesos, today, run billions peso value.",,,
Duterte-2018,"shudder harm drugs could caused reached streets every province, city, municipality, barangay community throughout country.",,,
Duterte-2018,illegal drugs war sidelined.,,,
Duterte-2018,"instead, relentless chilling, will, day began.",,,
Duterte-2018,drug dealers know fully well business law.,,,
Duterte-2018,"know consequences criminal acts, especially caught flagrante delicto violently resist arrest.",,,
Duterte-2018,"know illegal drugs waste away lives, dysfunctionalize families, ruin relationships.",,,
Duterte-2018,"know hooked, addicts die slowly — slow deaths.",,,
Duterte-2018,"yet, persist do, oblivious terrible harm cause people communities.",,,
Duterte-2018,"illegal drug operations turn nasty bloody, advocates human rights lash at—and pillory—our law enforcers administration end.",,,
Duterte-2018,"sadly, yet hear really howls protest human rights advocates church leaders druglordism, drug dealing drug pushing forceful vociferous ones directed alleged errant enforcers fight social scourge.",,,
Duterte-2018,"think dissuaded continuing fight demonstrations, protests, find, way, misdirected, got wrong.",,,
Duterte-2018,"concern human rights, mine human lives.",,,
Duterte-2018,"lives youth wasted families destroyed, chemicals called shabu, cocaine, cannabis, heroine.",,,
Duterte-2018,"human rights means giving filipinos, especially societys fringes, decent dignified future social physical infrastructures necessary better lives.",,,
Duterte-2018,"lives freedoms hardearned property every filipino whose condition wish improve shall protected criminals, terrorists, corrupt officials, traffickers contrabands.",,,
Duterte-2018,worry present concerned present future.,,,
Duterte-2018,worry future know crimes youth country.,,,
Duterte-2018,"stopped, crimes make human cesspools succeeding generations.",,,
Duterte-2018,allow happen.,,,
Duterte-2018,term.,,,
Duterte-2018,"time again, stressed corruption must stop.",,,
Duterte-2018,corruption like leech bleeds government funds programmed infrastructure social development projects.,,,
Duterte-2018,saps morale morale dedicated honest government workers.,,,
Duterte-2018,corruption destroys succumb temptation eventually innocent suffer bear horrible consequences.,,,
Duterte-2018,love money corrosive.,,,
Duterte-2018,"sadly, desire make easy kind imaginative manipulative, corrupts absolutely.",,,
Duterte-2018,stolen wealth make thief respectable.,,,
Duterte-2018,neither trappings wealth mask cap stink thievery exudes.,,,
Duterte-2018,"one day, justice catch steal government funds.",,,
Duterte-2018,"day comes, public retribution.",,,
Duterte-2018,"run steal peoples money, also enhancing governments delivery frontline services.",,,
Duterte-2018,"thank congress swift passage ease business , significant fight corruption improving service delivery.",,,
Duterte-2018,need sustain momentum.,,,
Duterte-2018,hereby direct government units — makinig sana kayo — government agencies faithfully implement law simply simplify process.,,,
Duterte-2018,hinihingi ko ho yan sa lahat nasa gobyerno control supervision.,,,
Duterte-2018,huwag ho kayong magkamali.,,,
Duterte-2018,"particularly call attention agencies number red taperelated reports public, make services truly customerfriendly.",,,
Duterte-2018,"people deserve efficient, effective, responsive government services.",,,
Duterte-2018,deserve nothing less.,,,
Duterte-2018,kayo lang ang ayaw eh.,,,
Duterte-2018,"gusto ng tao kayo yung binabayaran, make living pockets people, lousy corrupt bureaucracy.",,,
Duterte-2018,friends political supporters appointed public office dismissed caused resign.,,,
Duterte-2018,need mention names recount circumstances surrounding removal resignation.,,,
Duterte-2018,media amply reported that.,,,
Duterte-2018,"value friendship, make mistake it.",,,
Duterte-2018,limits.,,,
Duterte-2018,lonely place hemmed in.,,,
Duterte-2018,make lonelier forcing end friendship gave reason end it.,,,
Duterte-2018,pains end — loss friendships.,,,
Duterte-2018,appeal help cause friendship endure.,,,
Duterte-2018,"long remember, bulk income generated mindanao used remitted we, mindanao, refer imperial manila fund national projects primarily metro manila area, leaving pittance mindanao share thereof.",,,
Duterte-2018,"mindanao dubbed the land promise, mindanaoans say derision got government years promises, promises promises.",,,
Duterte-2018,"aim rectify derisive observation and, matter fact, process fulfilling promise significant increases budget mindanao.",,,
Duterte-2018,"end term, hope see promise mindanao fulfilled, least, approaching fulfillment.",,,
Duterte-2018,"may, mindanao pauses crossroads history.",,,
Duterte-2018,"one road leads harmony peace other, war human suffering.",,,
Duterte-2018,"despite said bangsamoro organic law sectoral groups, make solemn commitment administration never deny muslim brothers sisters basic legal tools chart destiny within constitutional framework country.",,,
Duterte-2018,approved version transmitted received office law passed actually intend to give hours sign ratify law.,,,
Duterte-2018,babasahin ko pa bago ko pipirmahan.,,,
Duterte-2018,baka may isiningit kayo diyan na hindi maganda para sa — para sa ibang tao.,,,
Duterte-2018,need loads understanding patience endure overcome birth pangs pains new beginning.,,,
Duterte-2018,"me, war option.",,,
Duterte-2018,catastrophe marawi.,,,
Duterte-2018,"seen horror, devastation, human toll displacement christians muslims alike.",,,
Duterte-2018,made pledge isis terrorists groups allies never gain foothold country.,,,
Duterte-2018,"yet, remained decimated mauteisis group marawi finally saw error ways expressed desire reintegrated society, welcomed open arms embarked genuine efforts embrace peaceful, productive life them.",,,
Duterte-2018,"owe fallen soldiers police officers marawi elsewhere put end bloodshed seek path true peace—a peace last beyond lifetime, whose dividends children reap.",,,
Duterte-2018,"international relations, shall continue assert pursue independent foreign policy.",,,
Duterte-2018,longterm national development national security goals come first.,,,
Duterte-2018,shall continue reach nations regardless prevailing political persuasions proximity distance shores long nations wish us well.,,,
Duterte-2018,"stronger bonds asean friends made possible trilateral border patrols indonesia malaysia, since put business sea pirates, piracy terrorists used infest shared seas.",,,
Duterte-2018,testament readiness country good neighbors make regional peace security shared responsibility.,,,
Duterte-2018,successfully hosted asean anniversary asean summit last november .,,,
Duterte-2018,shown world capable work together.,,,
Duterte-2018,asean events showcased worldrenowned filipino hospitality organizational capabilities also artistic talent.,,,
Duterte-2018,"would like commend organizing council led less executive secretary, salvador medialdea.",,,
