full_nameyears,sentence,label,sentiment_label,sentiment_score
Arroyo-2006,"sa ating mga ofw, tunay kayong mga bagong bayani.",,,
Arroyo-2006,"sa inyong paglilingkod sa pamilya, sa ating bayan, sa diyos, maraming salamat.",,,
Arroyo-2006,"sa ating mga kababayan, journey thousand miles begin single step.",,,
Arroyo-2006,"starts first step, gathering means complete successfully.",,,
Arroyo-2006,means hand.,,,
Arroyo-2006,"friends congress who, face grave political consequences, championed passed severe critical fiscal reforms save economy, maraming salamat.",,,
Arroyo-2006,true friends filipino people.,,,
Arroyo-2006,real challenge never blame fix wrong country economy.,,,
Arroyo-2006,"dahil sa inyo, sa wakas may pondo na tayo, hindi lamang para ibayad sa interes, kundi para sa edukasyon, mas mabuting tulay kalsada, pagbigay kalinga sa kalusugan higit na trabaho sa ating bansa.",,,
Arroyo-2006,"now, money pay debt build country.",,,
Arroyo-2006,"civil servants rose challenge turning weakening economy strong republic, vigorous tax collection vigilant action corruption, maraming salamat.",,,
Arroyo-2006,achieved record revenue collections.,,,
Arroyo-2006,lining corrupt officials face consequences misdeeds.,,,
Arroyo-2006,finally earned respect international community serious viable state fiscal discipline billions pesos annual interest savings going necessary public investments.,,,
Arroyo-2006,"men women armed services, huge deep core loyalty earned nations accolade.",,,
Arroyo-2006,mutineers condemned people.,,,
Arroyo-2006,partisan cohorts funders brought justice.,,,
Arroyo-2006,"sa nakararaming kawal pulis na nagtaguyod ng watawat saligang batas, maraming salamat.",,,
Arroyo-2006,"time must each, individuals communities, take greater responsibility, local government officials man frontline change change greater accountability, better service, responsiveness constituents.",,,
Arroyo-2006,"sa inyong lahat, mga local government officials, maraming salamat.",,,
Arroyo-2006,"higit sa lahat, salamat sa sambayanang pilipino, para sa inyong mga sakripisyo, sa inyong tiyaga, believing, face greatest hardships, ability surmount obstacles future deserve resisted persistent pathetic calls despair instead faith, anarchy instead harmony, salamat, salamat, taospusong pasasalamat.",,,
Arroyo-2006,stand today deliver state nation focused people want people want know plan put us path prosperity.,,,
Arroyo-2006,talk politics talk people want details state nation government make progress every single day.,,,
Arroyo-2006,samasama nating isusulong ang bansa patungo sa kinabukasang nagniningning.,,,
Arroyo-2006,"gaya ng nakikita sa graph na ito, dahil sa ating reporma sa ekonomiya, funds address social inequity economic disparity.",,,
Arroyo-2006,"many, masyadong marami, ang mamamayang nagugutom.",,,
Arroyo-2006,hindi ako hihinto hanggang magtagumpay ang ating laban sa kahirapan.,,,
Arroyo-2006,funds stamp terrorism lawless violence.,,,
Arroyo-2006,may pondo na tayo para labanan ang katiwalian.,,,
Arroyo-2006,"reforms earned us billion u.s. millennium challenge account investigators, prosecutors, new technology fight corruption.",,,
Arroyo-2006,matching another billion fiscal savings.,,,
Arroyo-2006,funds constitutional electoral changes.,,,
Arroyo-2006,"sa kasalukuyang sistema, napakabagal ng proseso, bukas sa labis na pagtutunggali, sikil ang lalawigan mamamayan sa paghahari ng imperial manila.",,,
Arroyo-2006,panahon nang ibalik ang kapangyarihan sa taumbayan lalawigan.,,,
Arroyo-2006,"surely, must better way politics, lose elections make country pay frustrated ambitions.",,,
Arroyo-2006,must better way win nations mandate govern work without delay whimsical obstruction.,,,
Arroyo-2006,must better way.,,,
Arroyo-2006,"meanwhile, fund medium term public investment program.",,,
Arroyo-2006,sumusulong na ang ating plano na may tatlong yugto.,,,
Arroyo-2006,"una, ang makaahon sa mga dekada ng utang kapos ng pondo.",,,
Arroyo-2006,nagawa na natin ito.,,,
Arroyo-2006,"ikalawang yugto, ang pagbabalik sa taumbayan ng mas malaking kita ng pamahalaan upang makapagpundar ng kalinga sa kalusugan, edukasyon, trabaho na kailangangkailangan ng mamamayan.",,,
Arroyo-2006,ginagawa na rin natin ito.,,,
